gait_percent,walk_dt_ms_mean,walk_dt_ms_sd,walk_exec_ms_mean,walk_exec_ms_sd,walk_tilt_forward_deg_mean,walk_tilt_forward_deg_sd,walk_pos_rad_mean,walk_pos_rad_sd,walk_vel_rad_s_mean,walk_vel_rad_s_sd,walk_tq_nm_mean,walk_tq_nm_sd,walk_temp_c_mean,walk_temp_c_sd,walk_vbus_v_mean,walk_vbus_v_sd,walk_fb_age_ms_mean,walk_fb_age_ms_sd,walk_typical_stride_ms_mean,walk_typical_stride_ms_sd,walk_effective_step_count_mean,walk_effective_step_count_sd,walk_tilt_accel_deg_mean,walk_tilt_accel_deg_sd,walk_acc_x_mean,walk_acc_x_sd,walk_acc_y_mean,walk_acc_y_sd,walk_acc_z_mean,walk_acc_z_sd,walk_gyr_x_mean,walk_gyr_x_sd,walk_gyr_y_mean,walk_gyr_y_sd,walk_gyr_z_mean,walk_gyr_z_sd,cfg_assist_pct_mean,cfg_assist_pct_sd,ankle_joint_angle_deg_mean,ankle_joint_angle_deg_sd,leg_tilt_angle_deg_mean,leg_tilt_angle_deg_sd,foot_tilt_angle_deg_mean,foot_tilt_angle_deg_sd
0.0,20.0,0.0,0.0,0.0,-5.52,3.7400505047094987,-0.065,0.08192815280611558,-0.8926000000000002,2.2342648405633962,-2.0414000000000003,1.7502742769190331,36.2,1.1352924243950933,28.098000000000003,0.03614784456460288,19.0,0.0,0.0,0.0,33.2,9.531235200352809,-1.292,9.345616679016484,-0.019999999999999997,0.16699966733167132,-1.001,0.011972189997378658,-0.13999999999999999,0.044721359549995794,-2.554,4.942046809437024,-2.6500000000000004,13.010602514018242,0.85,2.380396792320324,100.0,0.0,3.724225668350351,4.694137379093314,-5.52,3.7400505047094987,9.24422566835035,7.917646319500144
1.0,20.0,0.0,0.07899999999999999,0.249819935153302,-5.9375,3.6010586596937793,-0.10146350000000001,0.04860578029468878,-1.3622680000000005,2.4769458959351542,-0.5901865000000001,0.7977086610203907,36.3675,0.8905530429021189,28.131675,0.014397439008379479,15.2315,3.187454618413326,0.0,0.0,33.2,9.531235200352809,-1.76608,9.007498467024263,-0.029235000000000004,0.1612766051264445,-1.0047599999999999,0.01811789784225041,-0.14104,0.0500450952197671,-1.470055,4.362429356986133,-1.3907800000000003,9.655655358107785,-1.351605,4.875495568056532,100.0,0.0,5.813430324625629,2.78490607082581,-5.9375,3.6010586596937793,11.750930324625628,5.344239880035988
2.0,20.0,0.0,0.02100000000000001,0.06640783086353601,-6.206616666666667,3.4973458539351006,-0.12396066666666665,0.03673023263783704,0.13636599999999982,1.4014376683027248,-0.02694000000000001,0.08519176016493617,36.4,0.8432740427115678,28.141219999999997,0.00625704935785773,12.121,2.0016018585123265,0.0,0.0,33.2,9.531235200352809,-2.1974299999999998,8.5854208341881,-0.03581000000000001,0.15413033770156997,-1.00618,0.024100935896996037,-0.14337000000000003,0.052610815322411505,-0.38324000000000014,3.819316500573834,0.27551333333333317,6.210974617049214,-1.7974833333333329,7.688372356465747,100.0,0.0,7.102423025628026,2.104487310681731,-6.206616666666667,3.4973458539351006,13.309039692294695,4.0092886261824745
3.0,20.0,0.0,0.14049999999999993,0.31362087869839844,-6.497955,3.4561845374511857,-0.11883000000000002,0.037775617944794906,0.05486749999999999,0.7892311181891244,0.0,0.0,36.4,0.8432740427115678,28.139999999999997,3.744889033148481e-15,12.0405,2.0603727413585466,0.0,0.0,33.2,9.531235200352809,-2.5428849999999996,7.912076266100026,-0.04141,0.14221161227785395,-1.0090000000000001,0.027264140062238065,-0.15023999999999998,0.04671789925832615,1.13585,3.150878055576114,3.113315,3.1479762816812613,-1.4194600000000004,12.261223393777273,100.0,0.0,6.808457479539572,2.164383476735405,-6.497955,3.4561845374511857,13.306412479539574,3.756806953010515
4.0,20.0,0.0,0.3,0.4830458915396479,-6.59902,3.4632992984532343,-0.118604,0.04463388030533656,-0.02799333333333337,0.8773876397072797,0.0,0.0,36.4,0.8432740427115678,28.142879999999998,0.009107359661285052,12.2,2.097617696340303,0.0,0.0,33.2,9.531235200352809,-2.6884066666666664,7.525638075597902,-0.04406,0.13418004653781013,-1.0074600000000002,0.026773461155073383,-0.15336,0.04427959650523779,1.9493199999999997,3.1200217993540433,4.0146999999999995,3.469113878852126,-1.572153333333333,14.376279333767778,100.0,0.0,6.795508633369616,2.557332964787871,-6.59902,3.4632992984532343,13.394528633369617,3.442959902911251
5.0,20.0,0.0,0.3,0.4830458915396479,-6.700049999999999,3.4583422847273715,-0.11644000000000002,0.0617674033055552,0.2854716666666667,0.6164301895456884,0.0,0.0,36.4,0.8432740427115678,28.139999999999997,3.744889033148481e-15,12.2,2.097617696340303,0.0,0.0,33.2,9.531235200352809,-3.0095666666666663,6.633527073385118,-0.049949999999999994,0.1177913527292126,-1.0050000000000001,0.023687784005919844,-0.16040000000000001,0.03934166578408529,2.93315,3.204815457072199,5.499699999999999,5.051444678945265,-1.4042833333333338,17.84180888020025,100.0,0.0,6.671520566503306,3.539011520890723,-6.700049999999999,3.4583422847273715,13.371570566503305,3.610609927868057
6.0,20.0,0.0,0.2430000000000001,0.4090653302889949,-6.764529999999999,3.452455839624246,-0.10667000000000001,0.06973903051934245,0.494941,0.48121257154193287,0.0,0.0,36.474000000000004,0.731880378811243,28.139999999999997,3.744889033148481e-15,12.143,2.156437648839709,0.0,0.0,33.2,9.531235200352809,-3.374329999999999,5.500548440140614,-0.05669999999999999,0.09672325929624627,-1.00354,0.02071307692148985,-0.16282999999999997,0.0341264983391043,3.51233,3.969595643009499,8.2899,11.835086433332224,-1.7553899999999996,20.134194681710017,100.0,0.0,6.111740800660493,3.995752116092364,-6.764529999999999,3.452455839624246,12.876270800660489,3.91683864792849
7.0,20.0,0.0,0.2865,0.46276974116004316,-6.76887,3.438076547464035,-0.094224,0.07577023755333546,0.5584520000000002,0.4614622819196002,0.0,0.0,36.5,0.7071067811865476,28.139999999999997,3.744889033148481e-15,12.1865,2.195966061769727,0.0,0.0,33.2,9.531235200352809,-3.6352649999999995,4.4248779841338255,-0.06373999999999999,0.07878138457500959,-1.001875,0.01686711544198752,-0.162235,0.03320972121733835,4.13976,5.0317950862380005,9.915245000000002,15.527392939083319,-2.93524,21.70773760454246,100.0,0.0,5.398637528840669,4.341314824509779,-6.76887,3.438076547464035,12.16750752884067,4.5693743155310305
8.0,20.0,0.0,0.4,0.5163977794943223,-6.7307733333333335,3.3550104886517067,-0.07959733333333333,0.07885294825742974,0.5018239999999999,0.29161912706664345,0.0,0.0,36.5,0.7071067811865476,28.14112,0.0035417509793881944,12.3,2.110818693198342,0.0,0.0,33.2,9.531235200352809,-4.018739999999999,3.1660997837156755,-0.07033333333333333,0.053710223869838314,-1.00188,0.018099036192878115,-0.16128666666666663,0.03157595662900868,4.893866666666667,6.440479768418453,13.967086666666669,28.30993008525715,-4.58284,22.51450213031592,100.0,0.0,4.560591260495985,4.517941137314183,-6.7307733333333335,3.3550104886517067,11.291364593829318,5.0499826506112
9.0,20.0,0.0,0.4,0.5163977794943223,-6.688206666666668,3.2732001179726695,-0.06979666666666667,0.07959399335237413,0.5207906666666667,0.38237519240584555,0.0,0.0,36.5,0.7071067811865476,28.139999999999997,3.744889033148481e-15,12.3,2.110818693198342,0.0,0.0,33.2,9.531235200352809,-4.32741,2.429622267600917,-0.07627833333333334,0.04136325981285421,-1.00371,0.01834741580350397,-0.16139833333333334,0.03355191706726888,5.333831666666667,7.194140914594328,16.441525,32.723708334554864,-6.0725983333333335,22.386246986388393,100.0,0.0,3.999054424081436,4.5603998936833685,-6.688206666666668,3.2732001179726695,10.687261090748104,5.249919401484031
