cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,1,737,,,,full_cycle,standard,,,,,,,,,,,False,,,,,rejected,False,auto,incomplete prefix before first state 1
2,738,895,14760.0,17920.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3160.0,2240.0,920.0,280.0,640.0,70.88607594936708,29.11392405063291,True,10,2259.911502692084,920.0000000000003,70.14619883040936,accepted,True,auto,matches patient timing cluster (10 cycles)
3,896,1029,17920.0,20620.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2700.0,2480.0,220.0,0.0,220.0,91.85185185185185,8.148148148148149,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_swing_ms robust z=-22.2; stance_percent robust z=5.5
4,1030,1116,20620.0,22360.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1740.0,1180.0,560.0,260.0,300.0,67.816091954023,32.18390804597701,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_stance_ms robust z=-4.7; log_swing_ms robust z=-7.7
5,1117,1198,22360.0,23980.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1620.0,1080.0,540.0,320.0,220.0,66.66666666666667,33.333333333333336,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_stance_ms robust z=-5.4; log_swing_ms robust z=-8.3
6,1199,1274,23980.0,25500.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1520.0,1120.0,400.0,260.0,140.0,73.6842105263158,26.31578947368421,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_stance_ms robust z=-5.1; log_swing_ms robust z=-12.9
7,1275,1418,25500.0,28400.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2900.0,2340.0,560.0,100.0,460.0,80.6896551724138,19.310344827586206,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_swing_ms robust z=-7.7
8,1419,1585,28400.0,31720.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,3320.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
9,1586,1721,31720.0,34460.0,0→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2740.0,1800.0,940.0,340.0,600.0,65.69343065693431,34.306569343065696,True,,,,,review,False,auto,full cycle immediately follows T50 transition and requires review
10,1722,1862,34460.0,37300.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2840.0,2440.0,400.0,240.0,160.0,85.91549295774648,14.084507042253522,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_swing_ms robust z=-12.9; stance_percent robust z=4.0
11,1863,2012,37300.0,40300.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3000.0,2480.0,520.0,300.0,220.0,82.66666666666667,17.333333333333332,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_swing_ms robust z=-8.8
12,2013,2145,40300.0,42940.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2640.0,2500.0,140.0,60.0,80.0,94.6969696969697,5.303030303030303,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_swing_ms robust z=-29.2; stance_percent robust z=6.3
13,2146,2254,42940.0,45100.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2160.0,1160.0,1000.0,100.0,900.0,53.7037037037037,46.2962962962963,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_stance_ms robust z=-4.9; stance_percent robust z=-4.2
14,2255,3216,45100.0,64360.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,19260.0,18320.0,940.0,300.0,640.0,95.11941848390447,4.880581516095535,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_stance_ms robust z=15.2; stance_percent robust z=6.4
15,3217,3365,64360.0,67340.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2980.0,2400.0,580.0,320.0,260.0,80.53691275167785,19.463087248322147,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_swing_ms robust z=-7.2
16,3366,3446,67340.0,68940.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1600.0,1100.0,500.0,300.0,200.0,68.75,31.25,True,10,2259.911502692084,920.0000000000003,70.14619883040936,review,False,auto,timing review required: log_stance_ms robust z=-5.2; log_swing_ms robust z=-9.5
