cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,1,145,,,,full_cycle,standard,,,,,,,,,,,False,,,,,rejected,False,auto,incomplete prefix before first state 1
2,146,224,2960.0,4560.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1600.0,1260.0,340.0,140.0,200.0,78.75,21.25,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
3,225,290,4560.0,5860.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1300.0,880.0,420.0,180.0,240.0,67.6923076923077,32.30769230769231,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
4,291,353,5860.0,7120.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1260.0,920.0,340.0,160.0,180.0,73.01587301587301,26.984126984126984,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
5,354,416,7120.0,8380.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1260.0,840.0,420.0,220.0,200.0,66.66666666666667,33.333333333333336,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
6,417,487,8380.0,9800.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1420.0,1040.0,380.0,180.0,200.0,73.2394366197183,26.760563380281692,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
7,488,552,9800.0,11100.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1300.0,940.0,360.0,180.0,180.0,72.3076923076923,27.692307692307693,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
8,553,621,11100.0,12500.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1400.0,1040.0,360.0,140.0,220.0,74.28571428571429,25.714285714285715,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
9,622,685,12500.0,13780.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1280.0,960.0,320.0,120.0,200.0,75.0,25.0,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
10,686,744,13780.0,14940.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1160.0,820.0,340.0,160.0,180.0,70.6896551724138,29.310344827586206,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
11,745,852,14940.0,17100.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2160.0,1340.0,820.0,220.0,600.0,62.03703703703704,37.96296296296296,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_swing_ms robust z=5.2
12,853,1123,17100.0,22520.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,5420.0,4940.0,480.0,80.0,400.0,91.14391143911439,8.85608856088561,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=17.1; stance_percent robust z=6.6
13,1124,1194,22520.0,23960.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1440.0,1040.0,400.0,160.0,240.0,72.22222222222223,27.77777777777778,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
14,1195,1267,23960.0,25400.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1440.0,1060.0,380.0,160.0,220.0,73.61111111111111,26.38888888888889,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
15,1268,1331,25400.0,26680.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1280.0,960.0,320.0,160.0,160.0,75.0,25.0,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
16,1332,1400,26680.0,28080.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1400.0,980.0,420.0,240.0,180.0,70.0,30.0,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
17,1401,1486,28080.0,29780.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1700.0,1660.0,40.0,0.0,40.0,97.6470588235294,2.3529411764705883,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=5.7; log_swing_ms robust z=-15.2; stance_percent robust z=8.9
18,1487,1533,29780.0,30720.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,940.0,580.0,360.0,160.0,200.0,61.702127659574465,38.297872340425535,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=-5.3; stance_percent robust z=-3.5
19,1534,1597,30720.0,32000.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1280.0,860.0,420.0,220.0,200.0,67.1875,32.8125,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
20,1598,1663,32000.0,33320.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1320.0,960.0,360.0,180.0,180.0,72.72727272727273,27.272727272727273,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
21,1664,1730,33320.0,34660.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1340.0,1040.0,300.0,160.0,140.0,77.61194029850746,22.388059701492537,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
22,1731,1834,34660.0,36740.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2080.0,1220.0,860.0,180.0,680.0,58.65384615384615,41.34615384615385,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_swing_ms robust z=5.5; stance_percent robust z=-4.6
23,1835,1996,36740.0,39980.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3240.0,2980.0,260.0,140.0,120.0,91.9753086419753,8.024691358024691,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=11.8; stance_percent robust z=6.9
24,1997,2066,39980.0,41380.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1400.0,980.0,420.0,220.0,200.0,70.0,30.0,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
25,2067,2131,41380.0,42680.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1300.0,940.0,360.0,200.0,160.0,72.3076923076923,27.692307692307693,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
26,2132,2198,42680.0,44020.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1340.0,940.0,400.0,180.0,220.0,70.14925373134328,29.850746268656717,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
27,2199,2268,44020.0,45420.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1400.0,1040.0,360.0,160.0,200.0,74.28571428571429,25.714285714285715,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
28,2269,2333,45420.0,46760.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1340.0,960.0,380.0,160.0,220.0,71.64179104477611,28.35820895522388,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
29,2334,2396,46760.0,47980.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1220.0,880.0,340.0,140.0,200.0,72.1311475409836,27.868852459016395,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
30,2397,2457,47980.0,49200.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1220.0,900.0,320.0,160.0,160.0,73.77049180327869,26.229508196721312,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
31,2458,2520,49200.0,50460.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1260.0,900.0,360.0,220.0,140.0,71.42857142857143,28.571428571428573,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
32,2521,2590,50460.0,51860.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1400.0,1140.0,260.0,140.0,120.0,81.42857142857143,18.571428571428573,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
33,2591,2701,51860.0,54080.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2220.0,1040.0,1180.0,140.0,1040.0,46.846846846846844,53.153153153153156,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_swing_ms robust z=7.6; stance_percent robust z=-8.7
34,2702,3159,54080.0,63240.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,9160.0,8960.0,200.0,120.0,80.0,97.81659388646288,2.183406113537118,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=23.3; log_swing_ms robust z=-4.3; stance_percent robust z=8.9
35,3160,3233,63240.0,64720.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1480.0,940.0,540.0,180.0,360.0,63.513513513513516,36.486486486486484,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
36,3234,3325,64720.0,66560.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1840.0,1740.0,100.0,60.0,40.0,94.56521739130434,5.434782608695652,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=6.2; log_swing_ms robust z=-9.0; stance_percent robust z=7.8
37,3326,3378,66560.0,67640.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1080.0,500.0,580.0,160.0,420.0,46.2962962962963,53.7037037037037,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=-6.8; stance_percent robust z=-8.9
38,3379,3915,67640.0,78360.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,10720.0,10440.0,280.0,140.0,140.0,97.38805970149254,2.611940298507463,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=24.9; stance_percent robust z=8.8
39,3916,3997,78360.0,80000.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1640.0,1180.0,460.0,140.0,320.0,71.95121951219512,28.048780487804876,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
40,3998,4073,80000.0,81520.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1520.0,960.0,560.0,400.0,160.0,63.1578947368421,36.8421052631579,True,39,960.0000000000001,380.00000000000006,71.95121951219512,accepted,True,auto,matches patient timing cluster (39 cycles)
41,4074,4157,81520.0,83220.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1700.0,1640.0,60.0,0.0,60.0,96.47058823529412,3.5294117647058822,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=5.6; log_swing_ms robust z=-12.4; stance_percent robust z=8.5
42,4158,4207,83220.0,84220.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1000.0,440.0,560.0,160.0,400.0,44.0,56.0,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=-8.2; stance_percent robust z=-9.7
43,4208,4293,84220.0,85920.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1700.0,1620.0,80.0,40.0,40.0,95.29411764705883,4.705882352941177,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=5.5; log_swing_ms robust z=-10.5; stance_percent robust z=8.1
44,4294,4336,85920.0,86800.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,880.0,480.0,400.0,180.0,220.0,54.54545454545455,45.45454545454545,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: log_stance_ms robust z=-7.2; stance_percent robust z=-6.0
45,4337,4413,86800.0,88320.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1520.0,900.0,620.0,180.0,440.0,59.21052631578947,40.78947368421053,True,39,960.0000000000001,380.00000000000006,71.95121951219512,review,False,auto,timing review required: stance_percent robust z=-4.4
