gait_percent,walk_dt_ms_mean,walk_dt_ms_sd,walk_exec_ms_mean,walk_exec_ms_sd,walk_tilt_forward_deg_mean,walk_tilt_forward_deg_sd,walk_pos_rad_mean,walk_pos_rad_sd,walk_vel_rad_s_mean,walk_vel_rad_s_sd,walk_tq_nm_mean,walk_tq_nm_sd,walk_temp_c_mean,walk_temp_c_sd,walk_vbus_v_mean,walk_vbus_v_sd,walk_fb_age_ms_mean,walk_fb_age_ms_sd,walk_typical_stride_ms_mean,walk_typical_stride_ms_sd,walk_effective_step_count_mean,walk_effective_step_count_sd,walk_tilt_accel_deg_mean,walk_tilt_accel_deg_sd,walk_acc_x_mean,walk_acc_x_sd,walk_acc_y_mean,walk_acc_y_sd,walk_acc_z_mean,walk_acc_z_sd,walk_gyr_x_mean,walk_gyr_x_sd,walk_gyr_y_mean,walk_gyr_y_sd,walk_gyr_z_mean,walk_gyr_z_sd,cfg_assist_pct_mean,cfg_assist_pct_sd
0.0,20.0,0.0,0.0,0.0,3.4457142857142857,5.2010795582675495,-0.052714285714285714,0.13355861919735754,1.1929999999999998,2.3856771924689784,-1.9395714285714285,2.4073518547110955,42.0,1.0,25.872857142857146,0.14750302660333076,12.571428571428571,8.079957567073869,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,10.611428571428572,5.37507342142545,-0.19571428571428573,0.09744351233016027,-1.0528571428571427,0.0537631490007439,0.11571428571428573,0.09216961590045873,-18.408571428571427,14.132151792480657,21.084285714285716,19.20269933901903,0.9885714285714288,5.791051800181116,100.0,0.0
1.0,20.0,0.0,0.0,0.0,2.8197563909774432,5.492110214389041,-0.06208864661654136,0.12060286593077406,0.8167083458646615,2.601146517500527,-1.7981928571428571,2.321775562012216,42.0,1.0,25.87125714285714,0.1463297515561216,24.12142857142857,19.737609132965275,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,9.030785714285713,4.632573509554767,-0.166203007518797,0.08186442296582022,-1.0647857142857142,0.05804430573769859,0.13622857142857142,0.09950486946687107,-16.305520300751883,12.686398738180701,17.50391954887218,16.70844263289926,6.546891729323309,9.570921688156773,100.0,0.0
2.0,20.0,0.0,0.0,0.0,2.1034127819548876,5.6511974676777585,-0.046421578947368425,0.09590036183408104,5.058493834586465,7.640953204062048,-0.6883285714285714,0.8609923194281618,42.0,1.0,25.91577142857143,0.08700286804249054,14.58285714285714,14.17950835335475,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,6.968928571428571,3.130571534993935,-0.1294345864661654,0.05513077233066863,-1.0771428571428572,0.05168748582080765,0.15352857142857143,0.09175018100410327,-14.051683458646618,11.287612157193104,12.602153383458646,11.009061808798627,10.516640601503758,13.748283268841652,100.0,0.0
3.0,20.0,0.0,0.14285714285714285,0.3779644730092273,1.7735548872180453,5.7111094812086565,-0.035198796992481206,0.09279365547328923,-0.1969678195488713,1.4371370060333413,0.0,0.0,42.0,1.0,25.957971428571426,0.020736579136533324,3.857142857142857,1.9518001458970664,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,6.229528571428571,3.2199379102265753,-0.11530902255639099,0.05427136534270587,-1.0762428571428573,0.05083331772052849,0.15225714285714287,0.08653875542481641,-11.67296090225564,10.464475189244535,9.396372932330825,10.100267300295043,13.288275187969925,17.085881960418728,100.0,0.0
4.0,20.0,0.0,0.14285714285714285,0.3779644730092273,1.5388541353383458,5.787267528989254,-0.05334887218045113,0.09342234240148892,-0.442018045112782,1.201408917471956,0.0,0.0,42.0,1.0,25.966914285714285,0.0058501933219989866,3.857142857142857,1.9518001458970664,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,5.905657142857143,3.713148668743345,-0.10918345864661654,0.06333575653345809,-1.0719428571428573,0.051463088945471615,0.1396,0.07262139262412053,-9.424224060150376,8.926361758092316,6.38747819548872,8.95872546033636,16.68448120300752,20.13845630868175,100.0,0.0
5.0,20.0,0.0,0.14285714285714285,0.3779644730092273,1.5226033834586465,5.7563321385107775,-0.06290394736842105,0.09357428819768601,-0.09077969924812031,1.2433510085894015,0.0,0.0,42.0,1.0,25.957142857142856,0.016687605894081217,3.857142857142857,1.9518001458970664,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,6.145821428571428,3.8645929354263973,-0.1126936090225564,0.068163449239515,-1.0627142857142857,0.0497475771125733,0.1262142857142857,0.059256404114419806,-7.9565300751879695,7.5938447016529675,4.741097744360903,8.883683775940744,18.972851503759394,21.069809757204656,100.0,0.0
6.0,20.0,0.0,0.14285714285714285,0.3779644730092273,1.6112526315789475,5.600812668140322,-0.06375187969924813,0.09314783340793567,-0.001392781954887282,1.1842831656855148,0.0,0.0,42.0,1.0,25.965314285714282,0.010144855604595847,3.857142857142857,1.9518001458970664,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,6.718085714285715,3.805867231625652,-0.12316090225563911,0.06667185548993208,-1.0512857142857144,0.04633009923622106,0.1132,0.04764353751209776,-7.346378947368422,6.333570801240842,3.706831578947368,8.840431307488295,19.832721804511277,19.59741295948412,100.0,0.0
7.0,20.0,0.0,0.14285714285714285,0.3779644730092273,1.9196375939849624,5.405573353451258,-0.06252624060150377,0.1028080370039996,-0.03958372180451123,0.7310095972211437,0.0,0.0,41.994285714285716,0.9866924063566647,25.969771428571427,0.000604743156814697,3.857142857142857,1.9518001458970664,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,7.317021428571429,3.5631585271891772,-0.13339248120300753,0.06156050547487933,-1.039542857142857,0.04241771866971233,0.0941,0.03377035188840452,-7.170092105263158,5.415972806179735,3.0550296992481196,8.034959179823968,18.65462067669173,19.46161095786455,100.0,0.0
8.0,20.0,0.0,0.14285714285714285,0.37796447300922725,2.3125654135338345,5.142639170966551,-0.0610406015037594,0.10901182399608632,-0.029438947368421127,0.43076395846160415,0.0,0.0,41.857142857142854,0.6900655593423541,25.9668,0.005542562584219797,3.857142857142857,1.7728105208558367,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,7.7742571428571425,3.0302917631019963,-0.13910977443609024,0.05136277034534971,-1.0303428571428572,0.035817633326936354,0.08045714285714285,0.02772380788797823,-7.1055624060150375,5.521648819354516,2.5861849624060156,7.179519828114179,16.64841954887218,20.595079126169956,100.0,0.0
9.0,20.0,0.0,0.14285714285714285,0.37796447300922725,2.7668646616541355,4.872449339223857,-0.058364248120300756,0.10914049323713441,0.021666541353383483,0.5481296107765494,0.003949999999999996,0.010450717678705123,41.857142857142854,0.6900655593423541,25.957014285714287,0.022894863220922254,5.662857142857141,4.259380683799438,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,8.279300000000001,2.0696787069494627,-0.14701278195488723,0.036041984579383596,-1.0221714285714285,0.022767060583638147,0.07089999999999999,0.02663037113272488,-6.948061278195488,5.598399041476135,2.4317687969924813,6.210108305343482,14.89015413533835,22.2689396299677,100.0,0.0
10.0,20.0,0.0,0.2857142857142857,0.4561745697594706,3.334421052631579,4.574823650588041,-0.04308646616541354,0.10292069874190113,0.07694060150375936,0.864004557713616,0.36684285714285714,0.9705749702403945,41.857142857142854,0.6900655593423541,25.944285714285712,0.0680336051416608,6.285714285714286,5.777089397331662,2933.714285714286,451.65979611713436,27.428571428571427,2.14919697074224,8.650142857142857,1.5644560746546416,-0.15374436090225566,0.026922590523400614,-1.0178571428571428,0.017053138239324875,0.058857142857142865,0.030300872217526302,-7.286203007518798,5.0921259191229415,2.1464812030075184,5.480011383313471,10.66806015037594,22.102366565931355,100.0,0.0
