cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,1,59,,,,full_cycle,standard,,,,,,,,,,,False,,,,,rejected,False,auto,incomplete prefix before first state 1
2,60,168,1220.0,3380.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,2160.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
3,169,188,3380.0,,0,full_cycle,standard,,0,0,,,,,,,,False,,,,,rejected,False,auto,incomplete cycle ended with state 1 after [0]
4,189,319,3780.0,7380.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3600.0,2580.0,1020.0,20.0,1000.0,71.66666666666667,28.333333333333332,True,7,3140.0000000000027,540.0000000000002,84.39306358381504,review,False,auto,timing review required: log_swing_ms robust z=4.1; stance_percent robust z=-8.1
5,368,475,7380.0,10300.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2920.0,1900.0,1020.0,220.0,800.0,65.06849315068493,34.93150684931507,True,7,3140.0000000000027,540.0000000000002,84.39306358381504,review,False,auto,timing review required: log_stance_ms robust z=-4.7; log_swing_ms robust z=4.1; stance_percent robust z=-12.3
6,515,606,10300.0,12320.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2020.0,1660.0,360.0,160.0,200.0,82.17821782178218,17.821782178217823,True,7,3140.0000000000027,540.0000000000002,84.39306358381504,review,False,auto,timing review required: log_stance_ms robust z=-5.9
7,616,699,12320.0,14060.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1740.0,1600.0,140.0,60.0,80.0,91.95402298850574,8.045977011494253,True,7,3140.0000000000027,540.0000000000002,84.39306358381504,review,False,auto,timing review required: log_stance_ms robust z=-6.3; log_swing_ms robust z=-8.6; stance_percent robust z=4.8
8,703,821,14060.0,16580.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2520.0,2140.0,380.0,220.0,160.0,84.92063492063492,15.079365079365079,True,7,3140.0000000000027,540.0000000000002,84.39306358381504,review,False,auto,timing review required: log_stance_ms robust z=-3.6
9,829,990,16580.0,19980.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3400.0,2840.0,560.0,400.0,160.0,83.52941176470588,16.470588235294116,True,7,3140.0000000000027,540.0000000000002,84.39306358381504,accepted,True,auto,matches patient timing cluster (7 cycles)
10,999,1171,19980.0,23720.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3740.0,3140.0,600.0,300.0,300.0,83.9572192513369,16.0427807486631,True,7,3140.0000000000027,540.0000000000002,84.39306358381504,accepted,True,auto,matches patient timing cluster (7 cycles)
11,1186,1363,23720.0,27560.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3840.0,3360.0,480.0,180.0,300.0,87.5,12.5,True,7,3140.0000000000027,540.0000000000002,84.39306358381504,accepted,True,auto,matches patient timing cluster (7 cycles)
12,1377,1540,27560.0,31020.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3460.0,2920.0,540.0,340.0,200.0,84.39306358381504,15.606936416184972,True,7,3140.0000000000027,540.0000000000002,84.39306358381504,accepted,True,auto,matches patient timing cluster (7 cycles)
