cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,1,253,241200.0,246240.0,1→2→5,transition_5_to_0,walk_out_0_6_0,T50,"0,6",0→6→0,5040.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
2,254,299,246240.0,247740.0,0→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1500.0,620.0,880.0,300.0,580.0,41.333333333333336,58.666666666666664,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: log_stance_ms robust z=-8.0; stance_percent robust z=-16.6
3,329,573,247740.0,252640.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,4900.0,4800.0,100.0,80.0,20.0,97.95918367346938,2.0408163265306123,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: log_swing_ms robust z=-12.1; stance_percent robust z=6.0
4,574,779,252640.0,256760.0,1→2→5,transition_5_to_0,walk_out_0_6_0,T50,"0,6",0→6→0,4120.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
5,780,788,256760.0,,0,full_cycle,standard,,0,0,,,,,,,,False,,,,,rejected,False,auto,incomplete cycle ended with state 1 after [0]
6,789,940,256940.0,260580.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3640.0,2780.0,860.0,260.0,600.0,76.37362637362638,23.626373626373628,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,accepted,True,auto,matches patient timing cluster (9 cycles)
7,971,1190,260580.0,265220.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,4640.0,4080.0,560.0,320.0,240.0,87.93103448275862,12.068965517241379,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,accepted,True,auto,matches patient timing cluster (9 cycles)
8,1203,1394,265220.0,269500.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,4280.0,3620.0,660.0,200.0,460.0,84.57943925233644,15.42056074766355,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,accepted,True,auto,matches patient timing cluster (9 cycles)
9,1417,1654,269500.0,274300.0,1→2→5,transition_5_to_0,walk_out_0_6_0,T50,"0,6",0→6→0,4800.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
10,1655,1799,274300.0,277840.0,0→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3540.0,2360.0,1180.0,480.0,700.0,66.66666666666667,33.333333333333336,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: stance_percent robust z=-6.5
11,1832,1960,277840.0,280480.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,2640.0,2400.0,240.0,140.0,100.0,90.9090909090909,9.090909090909092,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: log_swing_ms robust z=-6.7
12,1966,2010,280480.0,281460.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,980.0,760.0,220.0,140.0,80.0,77.55102040816327,22.448979591836736,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: log_stance_ms robust z=-7.1; log_swing_ms robust z=-7.2
13,2015,2105,281460.0,283820.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2360.0,1580.0,780.0,220.0,560.0,66.94915254237289,33.05084745762712,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: log_stance_ms robust z=-3.8; stance_percent robust z=-6.4
14,2133,2265,283820.0,286880.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,3060.0,2380.0,680.0,280.0,400.0,77.77777777777777,22.22222222222222,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,accepted,True,auto,matches patient timing cluster (9 cycles)
15,2286,2450,286880.0,290380.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3500.0,2960.0,540.0,340.0,200.0,84.57142857142857,15.428571428571429,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,accepted,True,auto,matches patient timing cluster (9 cycles)
16,2461,2694,290380.0,295520.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,5140.0,4400.0,740.0,260.0,480.0,85.60311284046692,14.396887159533074,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,accepted,True,auto,matches patient timing cluster (9 cycles)
17,2718,2819,295520.0,297580.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2060.0,1980.0,80.0,60.0,20.0,96.11650485436893,3.883495145631068,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: log_swing_ms robust z=-13.5; stance_percent robust z=5.3
18,2821,2902,297580.0,299800.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2220.0,1380.0,840.0,240.0,600.0,62.16216216216216,37.83783783783784,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: log_stance_ms robust z=-4.4; stance_percent robust z=-8.3
19,2931,3102,299800.0,303620.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3820.0,3120.0,700.0,280.0,420.0,81.67539267015707,18.32460732984293,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,accepted,True,auto,matches patient timing cluster (9 cycles)
20,3122,3245,303620.0,306080.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2460.0,2420.0,40.0,20.0,20.0,98.3739837398374,1.6260162601626016,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: log_swing_ms robust z=-17.8; stance_percent robust z=6.2
21,3246,3302,306080.0,307800.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1720.0,860.0,860.0,260.0,600.0,50.0,50.0,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,review,False,auto,timing review required: log_stance_ms robust z=-6.5; stance_percent robust z=-13.2
22,3332,3511,307800.0,312240.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,4440.0,3440.0,1000.0,140.0,860.0,77.47747747747748,22.52252252252252,True,9,3620.0000000000023,699.9999999999998,82.89473684210526,accepted,True,auto,matches patient timing cluster (9 cycles)
