t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_robot_id,cfg_ble_target,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
40,1,walk,walk,9618,,9618.0,20.0,1.0,6.0,2.0,22.35,-0.031,0.504,2.946,42.0,25.76,0.0,18.0,3235.0,19.0,20.78,-0.37,-0.98,0.12,6.7,-1.12,-10.88,222.0,,,0.0,1.0,1.0,100.0
40,1,walk,walk,9619,,9619.0,20.0,1.0,6.0,2.0,22.37,-0.027,0.216,2.803,42.0,25.79,0.0,18.0,3235.0,19.0,20.23,-0.36,-0.98,0.12,7.1,-1.59,-10.57,222.0,,,0.0,1.0,1.0,100.0
60,1,walk,walk,9620,,9620.0,20.0,1.0,6.0,2.0,22.35,-0.024,0.139,2.705,42.0,25.79,0.0,18.0,3235.0,19.0,19.73,-0.35,-0.99,0.12,7.44,-2.07,-9.59,222.0,,,0.0,1.0,1.0,100.0
80,1,walk,walk,9621,,9621.0,20.0,1.0,6.0,2.0,22.31,-0.023,0.083,2.596,42.0,25.79,0.0,18.0,3235.0,19.0,19.31,-0.35,-0.99,0.12,7.73,-2.53,-7.95,222.0,,,0.0,1.0,1.0,100.0
100,1,walk,walk,9622,,9622.0,20.0,1.0,6.0,2.0,22.25,-0.022,0.061,2.492,42.0,25.83,0.0,18.0,3235.0,19.0,18.98,-0.34,-1.0,0.12,7.93,-2.97,-5.75,222.0,,,0.0,1.0,1.0,100.0
120,1,walk,walk,9623,,9623.0,20.0,1.0,6.0,2.0,22.16,-0.02,0.154,2.314,42.0,25.83,0.0,18.0,3235.0,19.0,18.75,-0.34,-1.0,0.12,8.07,-3.4,-3.11,222.0,,,0.0,1.0,1.0,100.0
160,1,walk,walk,9624,,9624.0,20.0,1.0,6.0,2.0,22.06,-0.019,0.115,2.162,42.0,25.83,0.0,18.0,3235.0,19.0,18.61,-0.34,-1.0,0.12,8.13,-3.82,-0.19,222.0,,,0.0,1.0,1.0,100.0
180,1,walk,walk,9625,,9625.0,20.0,1.0,6.0,2.0,21.94,-0.017,0.026,2.008,42.0,25.86,0.0,18.0,3235.0,19.0,18.56,-0.33,-1.0,0.13,8.14,-4.23,2.88,222.0,,,0.0,1.0,1.0,100.0
180,1,walk,walk,9626,,9626.0,20.0,1.0,6.0,2.0,21.82,-0.016,0.12,1.831,42.0,25.86,0.0,18.0,3235.0,19.0,18.61,-0.33,-0.99,0.13,8.11,-4.64,5.98,222.0,,,0.0,1.0,1.0,100.0
200,1,walk,walk,9627,,9627.0,20.0,1.0,6.0,2.0,21.7,-0.015,0.036,1.707,42.0,25.9,0.0,18.0,3235.0,19.0,18.73,-0.34,-0.99,0.13,8.02,-5.05,9.02,222.0,,,0.0,1.0,1.0,100.0
