t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_robot_id,cfg_ble_target,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
20,1,walk,walk,2804,,2804.0,20.0,0.0,0.0,1.0,2.49,0.135,0.882,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,3.43,-0.06,-1.07,-0.09,4.77,-25.69,8.45,228.0,,,0.0,1.0,1.0,100.0
40,1,walk,walk,2805,,2805.0,20.0,0.0,0.0,1.0,2.39,0.144,0.249,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,4.06,-0.08,-1.07,-0.11,1.36,-37.67,8.19,228.0,,,0.0,1.0,1.0,100.0
60,1,walk,walk,2806,,2806.0,20.0,0.0,0.0,1.0,2.32,0.143,0.032,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,4.83,-0.09,-1.08,-0.14,-2.52,-51.74,7.81,228.0,,,0.0,1.0,1.0,100.0
120,1,walk,walk,2807,,2807.0,20.0,0.0,0.0,1.0,2.28,0.137,-0.636,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,5.67,-0.11,-1.08,-0.15,-6.63,-66.89,7.58,228.0,,,0.0,1.0,1.0,100.0
120,1,walk,walk,2808,,2808.0,20.0,0.0,0.0,1.0,2.27,0.125,-0.762,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,6.45,-0.12,-1.09,-0.16,-10.74,-81.72,7.78,228.0,,,0.0,1.0,1.0,100.0
120,1,walk,walk,2809,,2809.0,20.0,0.0,0.0,1.0,2.28,0.12,-0.232,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,7.09,-0.14,-1.09,-0.16,-14.7,-94.77,8.52,228.0,,,0.0,1.0,1.0,100.0
140,1,walk,walk,2810,,2810.0,20.0,0.0,0.0,1.0,2.33,0.114,-0.64,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,7.54,-0.14,-1.09,-0.16,-18.38,-104.9,9.83,228.0,,,0.0,1.0,1.0,100.0
160,1,walk,walk,2811,,2811.0,20.0,0.0,0.0,1.0,2.4,0.101,-0.882,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,7.86,-0.15,-1.09,-0.14,-21.7,-111.64,11.68,228.0,,,0.0,1.0,1.0,100.0
180,1,walk,walk,2812,,2812.0,20.0,0.0,0.0,1.0,2.49,0.091,-0.421,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,8.11,-0.15,-1.09,-0.12,-24.58,-115.21,13.86,228.0,,,0.0,1.0,1.0,100.0
200,1,walk,walk,2813,,2813.0,20.0,0.0,0.0,1.0,2.6,0.082,-1.04,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,8.37,-0.16,-1.08,-0.09,-26.96,-116.33,16.08,228.0,,,0.0,1.0,1.0,100.0
220,1,walk,walk,2814,,2814.0,20.0,0.0,0.0,1.0,2.74,0.068,-0.789,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,8.7,-0.16,-1.07,-0.07,-28.76,-116.01,18.03,228.0,,,0.0,1.0,1.0,100.0
240,1,walk,walk,2815,,2815.0,20.0,0.0,0.0,1.0,2.91,0.059,-0.614,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,9.12,-0.17,-1.05,-0.04,-29.97,-115.15,19.42,228.0,,,0.0,1.0,1.0,100.0
280,1,walk,walk,2816,,2816.0,20.0,0.0,0.0,1.0,3.1,0.049,-0.614,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,9.58,-0.18,-1.04,-0.02,-30.59,-114.36,20.01,228.0,,,0.0,1.0,1.0,100.0
280,1,walk,walk,2817,,2817.0,20.0,0.0,0.0,1.0,3.31,0.042,-0.214,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,10.03,-0.18,-1.02,-0.01,-30.69,-113.91,19.67,228.0,,,0.0,1.0,1.0,100.0
320,1,walk,walk,2818,,2818.0,20.0,0.0,0.0,1.0,3.55,0.042,-0.013,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,10.39,-0.18,-1.0,0.01,-30.38,-113.69,18.36,228.0,,,0.0,1.0,1.0,100.0
320,1,walk,walk,2819,,2819.0,20.0,0.0,0.0,1.0,3.81,0.042,0.052,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,10.63,-0.18,-0.98,0.02,-29.74,-113.43,16.16,228.0,,,0.0,1.0,1.0,100.0
340,1,walk,walk,2820,,2820.0,20.0,0.0,0.0,1.0,4.1,0.042,0.171,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,10.76,-0.18,-0.96,0.02,-28.84,-112.9,13.19,228.0,,,0.0,1.0,1.0,100.0
360,1,walk,walk,2821,,2821.0,20.0,0.0,0.0,1.0,4.4,0.043,0.049,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,10.79,-0.18,-0.94,0.03,-27.74,-112.01,9.63,228.0,,,0.0,1.0,1.0,100.0
380,1,walk,walk,2822,,2822.0,20.0,0.0,0.0,1.0,4.71,0.044,0.123,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,10.8,-0.18,-0.92,0.03,-26.47,-110.85,5.59,228.0,,,0.0,1.0,1.0,100.0
420,1,walk,walk,2823,,2823.0,20.0,0.0,0.0,1.0,5.04,0.045,0.144,0.0,28.0,25.97,0.0,2.0,1283.0,18.0,10.83,-0.17,-0.9,0.02,-25.07,-109.56,1.22,228.0,,,0.0,1.0,1.0,100.0
440,1,walk,walk,2824,,2824.0,20.0,1.0,0.0,1.0,5.36,0.048,0.279,0.0,28.0,25.97,0.0,3.0,1283.0,18.0,10.91,-0.17,-0.89,0.01,-23.58,-108.31,-3.37,228.0,,,0.0,1.0,1.0,100.0
440,1,walk,walk,2825,,2825.0,20.0,1.0,0.0,1.0,5.68,0.052,0.381,0.0,28.0,25.97,0.0,3.0,1283.0,18.0,11.07,-0.17,-0.88,0.0,-22.06,-107.21,-8.06,228.0,,,0.0,1.0,1.0,100.0
460,1,walk,walk,2826,,2826.0,20.0,1.0,0.0,1.0,5.98,0.06,0.739,0.0,28.0,25.97,0.0,3.0,1283.0,18.0,11.28,-0.17,-0.87,-0.01,-20.54,-106.33,-12.75,228.0,,,0.0,1.0,1.0,100.0
480,1,walk,walk,2827,,2827.0,20.0,1.0,0.0,1.0,6.26,0.078,1.455,0.0,28.0,25.97,0.0,3.0,1283.0,18.0,11.54,-0.18,-0.87,-0.02,-19.06,-105.71,-17.33,228.0,,,0.0,1.0,1.0,100.0
520,1,walk,walk,2828,,2828.0,20.0,1.0,0.0,1.0,6.51,0.1,1.745,0.0,28.0,25.97,0.0,3.0,1283.0,18.0,11.79,-0.18,-0.87,-0.04,-17.64,-105.36,-21.75,228.0,,,0.0,1.0,1.0,100.0
520,1,walk,walk,2829,,2829.0,20.0,1.0,0.0,1.0,6.73,0.123,1.535,0.0,28.0,25.97,0.0,3.0,1283.0,18.0,12.04,-0.18,-0.86,-0.06,-16.29,-105.26,-25.97,228.0,,,0.0,1.0,1.0,100.0
540,1,walk,walk,2830,,2830.0,20.0,1.0,0.0,1.0,6.9,0.133,-1.296,0.0,28.0,25.97,0.0,3.0,1283.0,18.0,12.19,-0.19,-0.86,-0.08,-15.02,-105.38,-29.98,228.0,,,0.0,1.0,1.0,100.0
