icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT
0.000000,0.166504,0.000000,0.000000,0.000000,-6.103516,0.000000,0.000000,0.000000,32.549957,0.000000,0.000000,0.000000
10.000000,0.179687,-0.238769,0.994629,1.000000,-5.859375,-0.793457,-0.671387,1.000000,33.599960,35.399963,-89.400009,1.000000
20.000000,0.158203,-0.234375,0.988281,2.000000,-6.591797,-0.549316,-0.305176,2.000000,33.299957,35.699966,-89.100006,2.000000
30.000000,0.172852,-0.243164,1.003418,3.000000,-5.554199,-0.854492,-0.793457,3.000000,31.949966,34.649963,-88.050003,3.000000
40.000000,0.178223,-0.245117,0.998535,4.000000,-5.371094,-0.183105,-0.732422,4.000000,31.949966,34.349960,-88.200012,4.000000
50.000000,0.172363,-0.242187,0.998047,5.000000,-5.798340,0.362396,-0.732422,5.000000,33.599960,34.349960,-88.200012,5.000000
60.000000,0.167480,-0.256836,0.989258,6.000000,-6.042480,-0.183105,-0.061035,6.000000,31.499954,35.999954,-87.300003,6.000000
70.000000,0.180664,-0.257324,0.993652,7.000000,-6.103516,-0.183105,0.000000,7.000000,31.499954,35.399963,-88.350006,7.000000
80.000000,0.171875,-0.253906,0.990234,8.000000,-6.347656,-0.061035,0.240326,8.000000,33.749954,35.399963,-88.350006,8.000000
90.000000,0.170410,-0.244629,0.988769,9.000000,-6.164551,-0.244141,0.484467,9.000000,32.849960,36.599960,-88.650009,9.000000
100.000000,0.169922,-0.253906,0.982910,10.000000,-5.798340,-0.976562,0.484467,10.000000,32.849960,35.699966,-88.350006,10.000000
110.000000,0.165039,-0.239746,0.990234,11.000000,-4.760742,-0.793457,0.484467,11.000000,32.849960,35.699966,-88.350006,11.000000
120.000000,0.164062,-0.251953,0.990234,12.000000,-5.371094,-0.671387,-0.183105,12.000000,33.449966,35.399963,-88.800003,12.000000
130.000000,0.157227,-0.248047,0.994140,13.000000,-5.920410,-0.671387,-0.244141,13.000000,33.449966,34.799957,-87.900009,13.000000
140.000000,0.165039,-0.243164,1.002929,14.000000,-5.798340,-1.037598,0.850677,14.000000,33.599960,34.799957,-87.900009,14.000000
150.000000,0.162598,-0.239746,1.013183,15.000000,-5.859375,-0.061035,1.705170,15.000000,33.149963,35.399963,-89.400009,15.000000
160.000000,0.175781,-0.234863,1.014648,16.000000,-6.042480,-0.061035,1.155853,16.000000,33.149963,35.549957,-88.650009,16.000000
170.000000,0.156250,-0.223633,1.005371,17.000000,-5.798340,-0.244141,0.484467,17.000000,32.849960,35.549957,-88.650009,17.000000
