icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT
440.000000,0.304687,-0.960449,0.253418,44.000000,0.389099,0.497818,0.185013,44.000000,-20.323639,-0.978424,-29.128525,44.000000
450.000000,0.328613,-0.973144,0.244141,45.000000,0.511169,0.436783,0.123978,45.000000,-19.423645,-0.978424,-29.128525,45.000000
460.000000,0.324219,-0.958984,0.259766,46.000000,0.572205,0.558853,0.612259,46.000000,-18.973648,-1.278427,-29.278519,46.000000
470.000000,0.311035,-0.966308,0.252930,47.000000,0.572205,0.986099,-0.116348,47.000000,-18.973648,-0.228424,-28.378525,47.000000
480.000000,0.319336,-0.973144,0.241699,48.000000,0.694275,0.741959,0.612259,48.000000,-19.423645,-0.228424,-28.378525,48.000000
490.000000,0.311035,-0.969238,0.243164,49.000000,0.572205,0.619888,0.123978,49.000000,-18.973648,-2.328430,-30.328522,49.000000
500.000000,0.317871,-0.965332,0.262695,50.000000,-0.400543,0.314713,0.246048,50.000000,-18.973648,-2.178421,-28.678528,50.000000
510.000000,0.308105,-0.960937,0.249023,51.000000,0.328064,0.009537,0.307083,51.000000,-20.473648,-2.178421,-28.678528,51.000000
520.000000,0.312012,-0.959961,0.243164,52.000000,0.572205,-0.047684,0.673294,52.000000,-19.573639,-1.578430,-28.528519,52.000000
530.000000,0.313965,-0.948730,0.243164,53.000000,0.572205,0.558853,0.795364,53.000000,-18.523636,-2.178421,-30.178528,53.000000
540.000000,0.313476,-0.962890,0.245605,54.000000,0.816345,0.925064,0.673294,54.000000,-18.523636,-2.478424,-29.128525,54.000000
550.000000,0.321777,-0.964355,0.243164,55.000000,-0.156403,1.169205,0.368118,55.000000,-20.473648,-2.478424,-29.128525,55.000000
560.000000,0.315430,-0.976074,0.253418,56.000000,-0.095367,0.986099,0.673294,56.000000,-20.023636,-1.578430,-29.278519,56.000000
570.000000,0.310059,-0.962890,0.249023,57.000000,0.205994,0.925064,0.795364,57.000000,-20.023636,-2.478424,-28.378525,57.000000
580.000000,0.322266,-0.986328,0.241699,58.000000,0.633240,1.230240,0.307083,58.000000,-20.323639,-2.478424,-28.378525,58.000000
590.000000,0.329590,-0.974609,0.255859,59.000000,0.511169,0.436783,0.490189,59.000000,-20.023636,-2.178421,-28.678528,59.000000
600.000000,0.312500,-0.984375,0.245117,60.000000,0.572205,0.070572,0.123978,60.000000,-20.023636,-1.428421,-28.378525,60.000000
610.000000,0.314941,-0.965820,0.253418,61.000000,0.511169,0.314713,0.123978,61.000000,-19.273636,-1.428421,-28.378525,61.000000
