cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,1,140,20.0,2880.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,2860.0,2680.0,180.0,100.0,80.0,93.7062937062937,6.293706293706293,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_stance_ms robust z=16.5; log_swing_ms robust z=-5.2; stance_percent robust z=5.8
2,144,202,2880.0,4060.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1180.0,1120.0,60.0,60.0,0.0,94.91525423728814,5.084745762711864,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_swing_ms robust z=-13.8; stance_percent robust z=6.0
3,203,233,4060.0,5000.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,940.0,420.0,520.0,180.0,340.0,44.680851063829785,55.319148936170215,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_stance_ms robust z=-11.6; stance_percent robust z=-6.3
4,249,358,5000.0,7380.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,2380.0,1960.0,420.0,200.0,220.0,82.3529411764706,17.647058823529413,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_stance_ms robust z=11.8
5,369,479,7380.0,9800.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,2420.0,2020.0,400.0,200.0,200.0,83.47107438016529,16.52892561983471,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_stance_ms robust z=12.3
6,490,590,9800.0,11840.0,1→2→5,transition_5_to_0,standard,T50,"0,1,6",0→6→1,2040.0,,,,,,,False,,,,,review,False,auto,duration-only transition requires review
7,591,610,11840.0,,0,full_cycle,standard,,0,0,,,,,,,,False,,,,,rejected,False,auto,incomplete cycle ended with state 1 after [0]
8,611,709,12220.0,14260.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,2040.0,1820.0,220.0,140.0,80.0,89.2156862745098,10.784313725490197,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_stance_ms robust z=10.7; log_swing_ms robust z=-3.6; stance_percent robust z=4.6
9,713,804,14260.0,16660.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2400.0,1680.0,720.0,140.0,580.0,70.0,30.0,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_stance_ms robust z=9.5; log_swing_ms robust z=5.7
10,833,1125,16660.0,22820.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,6160.0,5660.0,500.0,180.0,320.0,91.88311688311688,8.116883116883116,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_stance_ms robust z=27.9; stance_percent robust z=5.3
11,1141,1226,22820.0,24580.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1760.0,1660.0,100.0,40.0,60.0,94.31818181818181,5.681818181818182,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_stance_ms robust z=9.3; log_swing_ms robust z=-9.8; stance_percent robust z=5.9
12,1229,1260,24580.0,25420.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,840.0,480.0,360.0,140.0,220.0,57.142857142857146,42.857142857142854,True,14,900.0000000000001,349.8571136907181,70.33362093758987,review,False,auto,timing review required: log_stance_ms robust z=-9.5
13,1269,1322,25420.0,26660.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1240.0,860.0,380.0,160.0,220.0,69.35483870967742,30.64516129032258,True,14,900.0000000000001,349.8571136907181,70.33362093758987,accepted,True,auto,matches patient timing cluster (14 cycles)
