cycle_index,gait_percent,segment_id,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
13,20.0,1,20.0,1.0,0,1,5.92,0.0694,1.1417,0.0,30.0,25.93,0,19.0,1851.0,24.0,9.088999999999999,-0.168,-1.029,-0.06,-4.4879999999999995,-4.745,-19.191000000000003,0,1,1,100.0
13,21.0,1,20.0,1.0,0,1,5.9505,0.07367,1.037085,0.0,30.0,25.93,0,19.0,1851.0,24.0,8.78095,-0.16190000000000002,-1.02595,-0.06,-4.4514,-4.57725,-20.17005,0,1,1,100.0
13,22.0,1,20.0,1.0,0,1,5.981,0.07794,0.9324700000000001,0.0,30.0,25.93,0,19.0,1851.0,24.0,8.472900000000001,-0.15580000000000002,-1.0229,-0.06,-4.4148,-4.4095,-21.149099999999997,0,1,1,100.0
13,23.0,1,20.0,1.0,0,1,6.012099999999999,0.08235999999999999,0.8344999999999999,0.0,30.0,25.93,0,19.0,1851.0,24.0,8.148500000000002,-0.14940000000000003,-1.02,-0.06029999999999998,-4.3752,-4.234100000000001,-22.163999999999994,0,1,1,100.0
13,24.0,1,20.0,1.0,0,1,6.0548,0.08967999999999997,0.8649999999999999,0.0,30.0,25.93,0,19.0,1851.0,24.0,7.508000000000002,-0.13720000000000004,-1.02,-0.06639999999999999,-4.2776000000000005,-3.9108000000000014,-23.871999999999993,0,1,1,100.0
13,25.0,1,20.0,1.0,0,1,6.08625,0.094875,0.81825,0.0,30.0,25.93,0,19.0,1851.0,24.0,6.99375,-0.1275,-1.02,-0.07,-4.194999999999999,-3.6575,-25.151249999999997,0,1,1,100.0
13,26.0,1,20.0,1.0,0,1,6.1015,0.09701,0.6602600000000002,0.0,30.0,25.93,0,19.0,1851.0,24.0,6.661300000000001,-0.12140000000000001,-1.02,-0.07,-4.1339999999999995,-3.5050000000000003,-25.8131,0,1,1,100.0
13,27.0,1,20.0,1.0,6,2,6.11675,0.099145,0.5022700000000003,0.0,30.0,25.93,0,19.0,1851.0,24.0,6.328850000000001,-0.11530000000000001,-1.02,-0.07,-4.0729999999999995,-3.3525000000000005,-26.47495,0,1,1,100.0
13,28.0,1,20.0,0.0,6,2,6.1044,0.07384000000000004,-2.012920000000001,-2.75472,30.0,25.69,0,18.0,1851.0,24.0,3.6248000000000022,-0.06840000000000004,-1.02,-0.08,-3.309200000000001,-1.9816000000000014,-27.529600000000002,0,1,1,100.0
13,29.0,1,20.0,0.0,6,2,6.0617,0.05737000000000006,-1.6463100000000013,-2.8974599999999997,30.0,25.69,0,18.0,1851.0,24.0,2.8989000000000025,-0.05620000000000005,-1.02,-0.08,-2.998100000000001,-1.5363000000000018,-26.230300000000003,0,1,1,100.0
13,30.0,1,20.0,0.30000000000000004,6,2,6.004,0.044500000000000005,-1.286,-2.8413,30.0,25.711000000000002,0,18.3,1851.0,24.0,2.182,-0.041,-1.0230000000000001,-0.08,-2.645,-1.094,-24.463,0,1,1,100.0
13,31.0,1,20.0,0.9099999999999995,6,2,5.9308,0.03535000000000001,-0.9322000000000004,-2.57961,30.0,25.753700000000002,0,18.91,1851.0,24.0,1.4744000000000008,-0.02270000000000002,-1.0291000000000001,-0.08,-2.2485000000000004,-0.6548000000000004,-22.212100000000003,0,1,1,100.0
13,32.0,1,20.0,0.4800000000000011,6,2,5.8368,0.027760000000000014,-0.87168,-2.108360000000001,30.0,25.7964,0,18.48,1851.0,24.0,0.8188000000000013,-0.014800000000000011,-1.03,-0.08519999999999998,-1.7688000000000008,-0.2988000000000006,-19.285200000000007,0,1,1,100.0
13,33.0,1,20.0,0.1299999999999983,6,2,5.7327,0.02057000000000002,-0.8430700000000002,-1.5939500000000015,30.0,25.843,0,18.13,1851.0,24.0,0.19170000000000156,-0.007400000000000034,-1.03,-0.09,-1.2526000000000015,0.008999999999999496,-16.11130000000001,0,1,1,100.0
13,34.0,1,20.0,0.7399999999999978,6,2,5.6046000000000005,0.013860000000000025,-0.7448600000000003,-1.054100000000002,30.0,25.904,0,18.74,1851.0,24.0,-0.3633999999999979,0.0047999999999999545,-1.03,-0.09,-0.6548000000000022,0.19199999999999937,-12.457400000000014,0,1,1,100.0
13,35.0,1,20.0,1.0,6,2,5.4695,0.008199999999999999,-0.5559999999999999,-0.49044999999999994,30.0,25.93,0,19.0,1851.0,24.0,-0.866,0.0135,-1.0335,-0.09,-0.011500000000000066,0.28400000000000003,-8.5655,0,1,1,100.0
13,36.0,1,20.0,1.0,6,2,5.3292,0.0033200000000000035,-0.29980000000000023,0.09087999999999946,30.0,25.93,0,19.0,1851.0,24.0,-1.3295999999999997,0.019599999999999996,-1.0396,-0.09,0.6655999999999992,0.30839999999999995,-4.496800000000004,0,1,1,100.0
