gait_percent,walk_dt_ms_mean,walk_dt_ms_sd,walk_exec_ms_mean,walk_exec_ms_sd,walk_tilt_forward_deg_mean,walk_tilt_forward_deg_sd,walk_pos_rad_mean,walk_pos_rad_sd,walk_vel_rad_s_mean,walk_vel_rad_s_sd,walk_tq_nm_mean,walk_tq_nm_sd,walk_temp_c_mean,walk_temp_c_sd,walk_vbus_v_mean,walk_vbus_v_sd,walk_fb_age_ms_mean,walk_fb_age_ms_sd,walk_typical_stride_ms_mean,walk_typical_stride_ms_sd,walk_effective_step_count_mean,walk_effective_step_count_sd,walk_tilt_accel_deg_mean,walk_tilt_accel_deg_sd,walk_acc_x_mean,walk_acc_x_sd,walk_acc_y_mean,walk_acc_y_sd,walk_acc_z_mean,walk_acc_z_sd,walk_gyr_x_mean,walk_gyr_x_sd,walk_gyr_y_mean,walk_gyr_y_sd,walk_gyr_z_mean,walk_gyr_z_sd,cfg_assist_pct_mean,cfg_assist_pct_sd
0.0,20.0,0.0,0.0,0.0,7.725,1.7158077263627627,-0.08435714285714287,0.04819448922033298,0.6013571428571429,0.35266602356312154,2.8154285714285714,0.8249191768601627,31.857142857142858,1.231455852429764,25.787142857142857,0.060310551625420955,21.857142857142858,7.262730392025629,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,16.355,3.1836620182038557,-0.315,0.06284902544988268,-1.07,0.014675987714106869,-0.017857142857142856,0.017619295117556787,-0.4849999999999999,2.413455072010951,12.795714285714284,6.073363932002548,-0.29714285714285726,2.6301986721434285,100.0,0.0
1.0,20.0,0.0,0.0,0.0,7.512671428571428,1.6757215715251519,-0.08038214285714285,0.04682632480832705,0.6571492857142858,0.37500460344793485,2.361658571428572,0.6246912646180591,31.857142857142858,1.231455852429764,25.787142857142857,0.060310551625420955,25.328571428571426,11.659953065707663,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,16.188657142857146,3.1689565573919385,-0.3113714285714285,0.06273041746015465,-1.0710928571428573,0.013343247458818005,-0.0172,0.017622232461384592,-0.5572571428571429,2.3678489500662137,11.479114285714285,6.140815849938601,1.2650785714285715,2.8241327851159963,100.0,0.0
2.0,20.0,0.0,0.0,0.0,7.278928571428572,1.6422835033193035,-0.07771285714285714,0.04617913455373398,0.6920114285714286,0.42302699129846666,2.0472914285714285,0.6135336012973365,31.857142857142858,1.231455852429764,25.787142857142857,0.060310551625420955,32.199999999999996,16.036880571405977,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,15.999714285714285,3.160634400500377,-0.3077857142857143,0.06313967248694155,-1.0720428571428573,0.012615540738782004,-0.0167,0.01772868167253713,-0.6427571428571431,2.3273805403415317,9.938014285714287,6.252625939168666,2.7587,3.180585379841506,100.0,0.0
3.0,20.0,0.0,0.0,0.0,7.088107142857142,1.6132969879980306,-0.07671214285714285,0.04620181218200319,0.6912671428571429,0.4662864660506222,1.91158,0.6677444596089597,31.857142857142858,1.231455852429764,25.787142857142857,0.060310551625420955,40.028571428571425,20.359818216334787,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,15.831457142857143,3.1499199522708965,-0.30550714285714287,0.06390220249347031,-1.072707142857143,0.01216884194513653,-0.01647857142857143,0.01778695194069685,-0.7325071428571429,2.2832965289632936,8.56209285714286,6.474900910375063,3.734878571428571,3.4392605965590852,100.0,0.0
4.0,20.0,0.0,0.0,0.0,6.851685714285714,1.6328355547975397,-0.07422857142857142,0.04575983170644531,1.04606,0.8920908335607292,1.7214257142857146,0.6619491540049824,31.857142857142858,1.231455852429764,25.801228571428574,0.06038980337481062,47.68571428571429,12.058757248308234,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,15.596485714285715,3.114498425319667,-0.30067142857142853,0.06296776255258812,-1.0733142857142859,0.010537176467730244,-0.016914285714285715,0.016769517085971894,-0.8384999999999999,2.2521453563555456,6.641685714285714,6.55043867830558,4.802599999999999,3.557631305323162,100.0,0.0
5.0,20.0,0.0,0.0,0.0,6.648928571428571,1.7324729835516237,-0.07051071428571427,0.04550441305129489,1.6219821428571433,1.8347875837658183,1.3821928571428572,0.892084930817245,31.857142857142858,1.231455852429764,25.830142857142857,0.07960368868807007,46.93571428571429,20.264239329528152,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,15.363071428571427,3.069269097453402,-0.29505357142857147,0.06083230247759223,-1.0712857142857144,0.011227480513513216,-0.01775,0.015648482354528825,-0.9457678571428574,2.2433161868269194,4.891321428571429,6.069191592844911,5.637750000000001,3.5788845248635353,100.0,0.0
6.0,20.0,0.0,0.0,0.0,6.5089,1.7262321057948506,-0.06313285714285714,0.03967237334208034,2.5218600000000007,2.741558513815987,0.8101028571428571,0.8622420653820398,31.900000000000002,1.2471505985183249,25.878314285714286,0.07733013003344115,30.558571428571433,24.231915971469355,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,15.171000000000001,3.0490155816136917,-0.28985,0.06000961140966055,-1.0698714285714288,0.011310541616047918,-0.019257142857142855,0.015424342114668284,-1.0610785714285715,2.283919889198114,3.366914285714287,6.290905152172171,5.925542857142857,3.604235281467599,100.0,0.0
7.0,20.0,0.0,0.0,0.0,6.313988095238094,1.6497525568724554,-0.05042309523809524,0.029572865001270914,3.440339047619049,3.979795931790962,0.09388571428571428,0.2392993582464083,31.94333333333333,1.270909896810929,25.94183095238095,0.030663275911446127,7.6571428571428575,8.73698718408955,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,14.854535714285715,3.0365163938574145,-0.2829738095238095,0.05978764440657806,-1.066807142857143,0.010842612819207982,-0.021335714285714284,0.01459607993437106,-1.2490595238095235,2.20241772217182,1.6186357142857146,6.461495097838858,6.02997380952381,3.6094482848331855,100.0,0.0
8.0,20.0,0.0,0.0,0.0,6.207995238095238,1.6327303488672988,-0.048603809523809514,0.027810552472319366,1.9309404761904767,3.6611394399912696,0.02347142857142857,0.05982483956160208,31.95904761904762,1.2757671923912801,25.93555238095238,0.01847145968663112,5.235714285714287,4.823596988979066,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,14.633742857142858,3.019402050257451,-0.2782523809523809,0.05968767817162035,-1.0646714285714285,0.01063451771510898,-0.023357142857142854,0.01364972325928057,-1.3389380952380951,2.188481396512559,0.5599000000000002,6.525766563518684,6.0009952380952365,3.677331717191988,100.0,0.0
9.0,20.0,0.0,0.0,0.0,6.076445238095239,1.674846608034797,-0.04613238095238096,0.02580417065039725,0.24626404761904763,0.42812520162211953,0.0,0.0,32.0097619047619,1.2611637986336774,25.9294630952381,0.0138598975381505,4.428571428571429,4.734720944003186,1497.142857142857,253.0654695293925,34.07142857142857,6.650208622688068,14.312607142857145,2.9495916933767905,-0.27023095238095235,0.05666657385254195,-1.0597285714285716,0.010733999080665895,-0.025639285714285708,0.013458057045894456,-1.4440023809523808,2.186234320247508,-0.7337571428571422,6.576900593009572,5.842080952380953,3.866740027607882,100.0,0.0
