t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_robot_id,cfg_ble_target,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
20,1,walk,walk,19663,,19663.0,20.0,2.0,6.0,2.0,-0.25,0.006,0.083,-0.759,37.0,25.93,0.0,18.0,3880.0,13.0,-0.69,0.01,-0.95,-0.32,3.01,0.87,1.15,600.0,,,0.0,1.0,1.0,100.0
60,1,walk,walk,19664,,19664.0,20.0,2.0,6.0,2.0,-0.24,0.006,0.081,-0.746,37.0,25.93,0.0,18.0,3880.0,13.0,-0.68,0.01,-0.96,-0.32,2.16,0.84,1.04,600.0,,,0.0,1.0,1.0,100.0
80,1,walk,walk,19665,,19665.0,20.0,2.0,6.0,2.0,-0.23,0.006,-0.005,-0.711,37.0,25.93,0.0,18.0,3880.0,13.0,-0.68,0.01,-0.96,-0.32,1.25,0.79,0.95,600.0,,,0.0,1.0,1.0,100.0
100,1,walk,walk,19666,,19666.0,20.0,2.0,6.0,2.0,-0.23,0.006,-0.058,-0.662,37.0,25.93,0.0,18.0,3880.0,13.0,-0.69,0.01,-0.96,-0.32,0.34,0.73,0.89,600.0,,,0.0,1.0,1.0,100.0
100,1,walk,walk,19667,,19667.0,20.0,2.0,6.0,2.0,-0.22,0.005,0.04,-0.657,37.0,25.93,0.0,18.0,3880.0,13.0,-0.7,0.01,-0.96,-0.32,-0.55,0.68,0.86,600.0,,,0.0,1.0,1.0,100.0
120,1,walk,walk,19668,,19668.0,20.0,2.0,6.0,2.0,-0.21,0.005,-0.009,-0.662,37.0,25.93,0.0,18.0,3880.0,13.0,-0.7,0.01,-0.96,-0.32,-1.39,0.62,0.85,600.0,,,0.0,1.0,1.0,100.0
140,1,walk,walk,19669,,19669.0,20.0,2.0,6.0,2.0,-0.2,0.004,-0.108,-0.592,37.0,25.93,0.0,18.0,3880.0,13.0,-0.71,0.01,-0.96,-0.32,-2.14,0.56,0.88,600.0,,,0.0,1.0,1.0,100.0
160,1,walk,walk,19670,,19670.0,20.0,2.0,6.0,2.0,-0.19,0.004,0.037,-0.573,37.0,25.93,0.0,18.0,3880.0,13.0,-0.71,0.01,-0.95,-0.32,-2.8,0.51,0.91,600.0,,,0.0,1.0,1.0,100.0
180,1,walk,walk,19671,,19671.0,20.0,2.0,6.0,2.0,-0.18,0.004,-0.061,-0.568,37.0,25.93,0.0,18.0,3880.0,13.0,-0.71,0.01,-0.95,-0.33,-3.33,0.47,0.96,600.0,,,0.0,1.0,1.0,100.0
240,1,walk,walk,19672,,19672.0,20.0,2.0,6.0,2.0,-0.17,0.004,0.009,-0.519,37.0,25.93,0.0,18.0,3880.0,13.0,-0.7,0.01,-0.95,-0.33,-3.75,0.45,1.01,600.0,,,0.0,1.0,1.0,100.0
240,1,walk,walk,19673,,19673.0,20.0,2.0,6.0,2.0,-0.16,0.004,-0.007,-0.494,37.0,25.93,0.0,18.0,3880.0,13.0,-0.69,0.01,-0.95,-0.33,-4.03,0.43,1.05,600.0,,,0.0,1.0,1.0,100.0
240,1,walk,walk,19674,,19674.0,20.0,2.0,6.0,2.0,-0.15,0.004,0.021,-0.515,37.0,25.9,0.0,18.0,3880.0,13.0,-0.68,0.01,-0.95,-0.34,-4.17,0.43,1.08,600.0,,,0.0,1.0,1.0,100.0
