cycle_index,gait_percent,segment_id,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct,ankle_joint_angle_deg,leg_tilt_angle_deg,foot_tilt_angle_deg
3,18.0,1,20.0,0.0,0,1,2.204,0.0366,-0.3914,-0.0,35.0,25.86,0,7.0,1641.0,135.0,1.05,-0.02,-1.03,-0.03,-4.172,-8.974,-5.7379999999999995,0,1,1,100.0,-2.097025530178813,2.204,-4.301025530178814
3,19.0,1,20.0,0.0,0,1,2.112,0.0338,-0.4122,-0.0,35.0,25.86,0,7.0,1641.0,135.0,1.01,-0.02,-1.03,-0.03,-4.196,-8.462,-4.614,0,1,1,100.0,-1.9365973475421823,2.112,-4.048597347542183
3,20.0,1,20.0,0.0,0,1,1.79,0.025,-0.273,-0.0,35.0,25.86,0,7.0,1641.0,135.0,0.93,-0.02,-1.03,-0.03,-4.21,-6.74,-0.82,0,1,1,100.0,-1.4323944878270582,1.79,-3.2223944878270583
3,21.0,1,20.0,0.0,0,1,1.614,0.0218,-0.3106,-0.0,35.0,25.86,0,7.0,1641.0,135.0,0.938,-0.02,-1.03,-0.038,-4.17,-5.836,1.1320000000000001,0,1,1,100.0,-1.2490479933851946,1.614,-2.8630479933851944
3,22.0,1,20.0,0.0,0,1,1.4380000000000002,0.018600000000000002,-0.2546,-0.0,35.0,25.86,0,7.0,1641.0,135.0,0.982,-0.02,-1.03,-0.04,-4.112,-4.986000000000001,2.91,0,1,1,100.0,-1.0657014989433313,1.4380000000000002,-2.5037014989433315
3,23.0,1,20.0,0.0,0,1,1.274,0.0158,-0.2186,-0.0,35.0,25.86,0,7.0,1641.0,135.0,1.054,-0.02,-1.03,-0.04,-4.0360000000000005,-4.202,4.502,0,1,1,100.0,-0.9052733163067008,1.274,-2.179273316306701
3,24.0,1,20.0,0.0,0,1,1.126,0.013,-0.2708,-0.0,35.0,25.86,0,7.0,1641.0,135.0,1.1500000000000001,-0.02,-1.028,-0.04,-3.944,-3.4899999999999998,5.902,0,1,1,100.0,-0.7448451336700702,1.126,-1.8708451336700702
3,25.0,1,20.0,0.0,0,1,0.99,0.009,-0.434,-0.0,35.0,25.86,0,7.0,1641.0,135.0,1.27,-0.02,-1.02,-0.04,-3.84,-2.85,7.11,0,1,1,100.0,-0.5156620156177408,0.99,-1.505662015617741
3,26.0,1,20.0,0.0,0,1,0.862,0.002599999999999999,-0.39640000000000003,-0.0,35.0,25.892,0,7.0,1641.0,135.0,1.406,-0.027999999999999997,-1.02,-0.04,-3.7199999999999998,-2.29,8.117999999999999,0,1,1,100.0,-0.148969026734014,0.862,-1.010969026734014
3,27.0,1,20.0,0.0,0,1,0.7939999999999999,-0.0005,-0.3984,-0.0,35.0,25.887999999999998,0,7.0,1641.0,135.0,1.5,-0.03,-1.02,-0.043000000000000003,-3.645,-1.97,8.681999999999999,0,1,1,100.0,0.028647889756541162,0.7939999999999999,-0.7653521102434587
3,28.0,1,20.0,0.0,0,1,0.746,-0.0025,-0.41359999999999997,-0.0,35.0,25.872,0,7.0,1641.0,135.0,1.5799999999999998,-0.03,-1.02,-0.047,-3.585,-1.73,9.097999999999999,0,1,1,100.0,0.1432394487827058,0.746,-0.6027605512172942
3,29.0,1,20.0,0.0,0,1,0.69,-0.005,-0.4172,-0.0,35.0,25.86,0,7.0,1641.0,135.0,1.68,-0.03,-1.02,-0.05,-3.508,-1.45,9.584,0,1,1,100.0,0.2864788975654116,0.69,-0.40352110243458833
3,30.0,1,20.0,0.0,0,1,0.54,-0.016,-0.655,-0.0,35.0,25.86,0,7.0,1641.0,135.0,2.05,-0.04,-1.02,-0.05,-3.22,-0.65,11.02,0,1,1,100.0,0.9167324722093172,0.54,0.37673247220931716
3,31.0,1,20.0,0.0,0,1,0.516,-0.0248,-0.5846,-0.0,35.0,25.86,0,7.0,1641.0,135.0,2.218,-0.04,-1.02,-0.05,-3.1,-0.386,11.588000000000001,0,1,1,100.0,1.4209353319244415,0.516,0.9049353319244415
3,32.0,1,20.0,0.0,0,1,0.504,-0.030600000000000002,-0.5327999999999999,-0.0,35.0,25.86,0,7.0,1641.0,135.0,2.392,-0.04,-1.02,-0.05,-2.974,-0.16399999999999998,12.138,0,1,1,100.0,1.7532508531003193,0.504,1.2492508531003192
3,33.0,1,20.0,0.0,0,1,0.508,-0.035,-0.43,-0.0,35.0,25.86,0,7.0,1641.0,135.0,2.576,-0.044000000000000004,-1.02,-0.05,-2.85,0.020000000000000004,12.654,0,1,1,100.0,2.0053522829578814,0.508,1.4973522829578814
3,34.0,1,20.0,0.0,0,1,0.53,-0.039599999999999996,-0.3332,-0.0,35.0,25.86,0,7.0,1641.0,135.0,2.774,-0.05,-1.02,-0.05,-2.7279999999999998,0.17400000000000002,13.12,0,1,1,100.0,2.26891286871806,0.53,1.73891286871806
3,35.0,1,20.0,0.0,0,1,0.57,-0.046,-0.426,-0.0,35.0,25.86,0,7.0,1641.0,135.0,2.99,-0.05,-1.02,-0.05,-2.6,0.31,13.52,0,1,1,100.0,2.635605857601787,0.57,2.065605857601787
3,36.0,1,20.0,0.0,0,1,0.626,-0.0484,-0.07719999999999999,-0.0,35.0,25.86,0,7.0,1641.0,135.0,3.23,-0.057999999999999996,-1.02,-0.057999999999999996,-2.44,0.43799999999999994,13.744,0,1,1,100.0,2.773115728433184,0.626,2.1471157284331843
3,37.0,1,20.0,0.0,0,1,0.67,-0.0484,0.0736,-0.0,35.0,25.86,0,7.0,1641.0,135.0,3.392,-0.06,-1.017,-0.06,-2.328,0.521,13.77,0,1,1,100.0,2.773115728433184,0.67,2.1031157284331843
3,38.0,1,20.0,0.0,0,1,0.71,-0.0476,0.1584,-0.0,35.0,25.86,0,7.0,1641.0,135.0,3.528,-0.06,-1.013,-0.06,-2.232,0.589,13.73,0,1,1,100.0,2.7272791048227187,0.71,2.0172791048227188
3,39.0,1,20.0,0.0,0,1,0.766,-0.0458,0.2914,-0.0,35.0,25.86,0,7.0,1641.0,135.0,3.7039999999999997,-0.062,-1.01,-0.06,-2.106,0.672,13.572,0,1,1,100.0,2.6241467016991704,0.766,1.8581467016991704
3,40.0,1,20.0,0.0,0,1,1.02,-0.03,0.684,-0.0,35.0,25.86,0,7.0,1641.0,135.0,4.39,-0.08,-1.01,-0.06,-1.62,0.94,11.7,0,1,1,100.0,1.7188733853924696,1.02,0.6988733853924696
3,41.0,1,20.0,0.0,0,1,1.148,-0.0212,0.8144,-0.0,35.0,25.86,0,7.0,1641.0,135.0,4.678,-0.08,-1.01,-0.06,-1.428,1.044,10.02,0,1,1,100.0,1.2146705256773453,1.148,0.06667052567734544
3,42.0,1,20.0,0.0,0,1,1.294,-0.009399999999999999,0.9082,-0.0,35.0,25.86,0,7.0,1641.0,135.0,4.936,-0.086,-1.01,-0.06,-1.26,1.13,7.89,0,1,1,100.0,0.5385803274229738,1.294,-0.7554196725770262
3,43.0,1,20.0,0.0,0,1,1.4460000000000002,0.0034000000000000002,1.1138,-0.0,35.0,25.86,0,7.0,1641.0,135.0,5.148,-0.09,-1.01,-0.06,-1.1159999999999999,1.202,5.362,0,1,1,100.0,-0.1948056503444799,1.4460000000000002,-1.6408056503444801
3,44.0,1,20.0,0.0,0,1,1.6,0.016399999999999998,1.2848,-0.0,35.0,25.86,0,7.0,1641.0,135.0,5.3020000000000005,-0.092,-1.01,-0.06,-0.986,1.258,2.492,0,1,1,100.0,-0.9396507840145499,1.6,-2.53965078401455
3,45.0,1,20.0,0.0,6,2,1.76,0.03,0.98,-0.0,35.0,25.86,0,7.0,1641.0,135.0,5.39,-0.1,-1.01,-0.06,-0.85,1.29,-0.66,0,1,1,100.0,-1.7188733853924696,1.76,-3.4788733853924696
3,46.0,1,20.0,0.0,6,2,1.92,0.0356,1.4664000000000001,0.1656,35.0,25.836,0,15.8,1641.0,135.0,5.35,-0.092,-1.01,-0.06,-0.6739999999999999,1.458,-3.8840000000000003,0,1,1,100.0,-2.039729750665731,1.92,-3.9597297506657307
3,47.0,1,20.0,0.0,6,2,2.02,0.0355,1.0111,0.7505999999999999,35.0,25.808999999999997,0,18.0,1641.0,135.0,5.274,-0.09,-1.01,-0.063,-0.546,1.632,-5.779,0,1,1,100.0,-2.034000172714422,2.02,-4.054000172714423
3,48.0,1,20.0,0.0,6,2,2.1,0.0335,0.2419000000000001,1.4754,35.0,25.781,0,18.0,1641.0,135.0,5.186,-0.09,-1.01,-0.067,-0.434,1.808,-7.231,0,1,1,100.0,-1.919408613688258,2.1,-4.019408613688258
