t_ms,segment_id,packet_type,source_mode,frame_fid,note,walk_fid,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_fid,cfg_robot_id,cfg_ble_target,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
87820,2,walk,walk,8663,,8663.0,20.0,0.0,0.0,1.0,1.67,-0.021,0.019,0.0,32.0,28.18,0.0,0.0,0.0,0.0,2.38,0.04,-1.0,-0.06,0.33,-1.28,1.13,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
87860,2,walk,walk,8664,,8664.0,20.0,0.0,0.0,1.0,1.67,-0.021,-0.08,0.0,32.0,28.18,0.0,0.0,0.0,0.0,2.36,0.04,-1.0,-0.06,0.34,-1.27,1.2,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
87860,2,walk,walk,8665,,8665.0,20.0,1.0,0.0,1.0,1.67,-0.021,-0.002,0.0,32.0,28.18,0.0,1.0,0.0,0.0,2.33,0.04,-1.0,-0.06,0.35,-1.26,1.24,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
87860,2,walk,walk,8666,,8666.0,20.0,0.0,0.0,1.0,1.68,-0.021,0.021,0.0,32.0,28.18,0.0,0.0,0.0,0.0,2.29,0.04,-1.0,-0.06,0.35,-1.25,1.27,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
87880,2,walk,walk,8667,,8667.0,20.0,1.0,0.0,1.0,1.68,-0.021,0.04,0.0,32.0,28.18,0.0,1.0,0.0,0.0,2.24,0.04,-1.0,-0.06,0.34,-1.24,1.28,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
87880,2,walk,walk,8668,,8668.0,20.0,1.0,0.0,1.0,1.68,-0.021,-0.014,0.0,32.0,28.18,0.0,1.0,0.0,0.0,2.18,0.04,-1.0,-0.06,0.32,-1.23,1.28,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
87920,2,walk,walk,8669,,8669.0,20.0,0.0,0.0,1.0,1.68,-0.021,-0.014,0.0,32.0,28.18,0.0,20.0,0.0,0.0,2.12,0.04,-1.0,-0.06,0.3,-1.21,1.27,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
87940,2,walk,walk,8670,,8670.0,20.0,1.0,0.0,1.0,1.67,-0.021,-0.007,0.0,32.0,28.18,0.0,20.0,0.0,0.0,2.05,0.04,-1.0,-0.06,0.29,-1.19,1.25,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
87940,2,walk,walk,8671,,8671.0,20.0,1.0,0.0,1.0,1.67,-0.021,-0.028,0.0,32.0,28.18,0.0,19.0,0.0,0.0,1.98,0.03,-1.0,-0.06,0.27,-1.16,1.21,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
87980,2,walk,walk,8672,,8672.0,20.0,1.0,0.0,1.0,1.66,-0.021,-0.044,0.0,32.0,28.18,0.0,19.0,0.0,0.0,1.91,0.03,-1.0,-0.06,0.26,-1.13,1.15,231.0,TESTR,AKR-TESTR-<MAC6>,0.0,1.0,0.0,100.0
