cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
1,1,1236,,,,full_cycle,standard,,,,,,,,,,,False,,,,,rejected,False,auto,incomplete prefix before first state 1
2,1237,1615,24760.0,32340.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,7580.0,7020.0,560.0,180.0,380.0,92.61213720316623,7.387862796833773,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
3,1616,1705,32340.0,34120.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1780.0,880.0,900.0,240.0,660.0,49.438202247191015,50.561797752808985,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
4,1706,1825,34120.0,36520.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,2400.0,1940.0,460.0,180.0,280.0,80.83333333333333,19.166666666666668,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
5,1826,1903,36520.0,38080.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1560.0,1300.0,260.0,100.0,160.0,83.33333333333333,16.666666666666668,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
6,1904,1979,38080.0,39620.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1540.0,1140.0,400.0,220.0,180.0,74.02597402597402,25.974025974025974,True,,,,,accepted,True,forced_accept,accepted by user
7,1980,2053,39620.0,41120.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1500.0,1040.0,460.0,240.0,220.0,69.33333333333333,30.666666666666668,True,,,,,accepted,True,forced_accept,accepted by user
8,2054,2148,41120.0,43000.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1880.0,1040.0,840.0,240.0,600.0,55.319148936170215,44.680851063829785,True,,,,,accepted,True,forced_accept,accepted by user
9,2149,2305,43000.0,46140.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3140.0,2160.0,980.0,160.0,820.0,68.78980891719745,31.21019108280255,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
10,2306,2407,46140.0,48180.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,2040.0,1980.0,60.0,40.0,20.0,97.05882352941177,2.9411764705882355,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
11,2408,2480,48180.0,49620.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1440.0,580.0,860.0,260.0,600.0,40.27777777777778,59.72222222222222,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
12,2481,2609,49620.0,52200.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,2580.0,2080.0,500.0,280.0,220.0,80.62015503875969,19.37984496124031,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
13,2610,2715,52200.0,54340.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2140.0,1200.0,940.0,280.0,660.0,56.074766355140184,43.925233644859816,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
14,2716,2862,54340.0,57280.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,2940.0,2220.0,720.0,240.0,480.0,75.51020408163265,24.489795918367346,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
15,2863,2945,57280.0,58920.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1640.0,1140.0,500.0,120.0,380.0,69.51219512195122,30.48780487804878,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
16,2946,3098,58920.0,62000.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3080.0,2460.0,620.0,100.0,520.0,79.87012987012987,20.12987012987013,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
17,3099,3192,62000.0,63880.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1880.0,1060.0,820.0,140.0,680.0,56.38297872340426,43.61702127659574,True,,,,,review,False,auto,timing cluster unavailable: largest cluster has 4 of required 5 cycles
18,3193,3327,63880.0,,1→2,full_cycle,standard,,"0,6",0→6,,,,,,,,False,,,,,rejected,False,auto,"incomplete suffix after [1, 2]"
