cycle_index,gait_percent,segment_id,walk_dt_ms,walk_exec_ms,walk_out,walk_state,walk_tilt_forward_deg,walk_pos_rad,walk_vel_rad_s,walk_tq_nm,walk_temp_c,walk_vbus_v,walk_err_code,walk_fb_age_ms,walk_typical_stride_ms,walk_effective_step_count,walk_tilt_accel_deg,walk_acc_x,walk_acc_y,walk_acc_z,walk_gyr_x,walk_gyr_y,walk_gyr_z,cfg_gait_model,cfg_gait_mode,cfg_side_is_left,cfg_assist_pct
3,0.0,2,20.0,0.0,0,1,-6.91,0.163,-4.905,2.818,33.0,28.25,0,19.0,0.0,2.0,7.72,0.13,-0.94,-0.16,-23.37,-12.44,2.79,0,1,0,100.0
3,1.0,2,20.0,0.0,0,1,-7.0772,0.09764,-5.839799999999999,2.2898,33.0,28.25,0,19.0,0.0,2.0,5.7972,0.0996,-0.9628,-0.1524,-21.812,-14.917599999999998,3.3371999999999997,0,1,0,100.0
3,2.0,2,20.0,0.0,0,1,-7.169,0.0211,-13.05958,1.5710200000000003,33.0,28.2214,0,17.18,0.0,2.0,4.4932,0.077,-0.9778,-0.14479999999999998,-20.6908,-16.7764,4.2718,0,1,0,100.0
3,3.0,2,20.0,0.0,0,1,-7.226,-0.06059999999999998,-23.18012,0.7642800000000004,33.0,28.1796,0,14.520000000000001,0.0,2.0,3.4748,0.05800000000000001,-0.9892,-0.13720000000000002,-19.7712,-18.3496,5.385199999999999,0,1,0,100.0
3,4.0,2,20.0,0.01999999999999993,0,1,-7.471,-0.25296,0.14718,0.0,33.0,28.18,0,12.02,0.0,2.0,-2.0414,-0.0406,-1.0402,-0.1098,-14.0158,-27.9148,14.763599999999999,0,1,0,100.0
3,5.0,2,20.0,0.4,0,1,-7.489999999999999,-0.2522,0.1316,0.0,33.0,28.18,0,12.4,0.0,2.0,-2.638,-0.052000000000000005,-1.044,-0.106,-13.176,-28.956,15.972,0,1,0,100.0
3,6.0,2,20.0,0.7799999999999998,0,1,-7.5089999999999995,-0.25144,0.11602000000000001,0.0,33.0,28.18,0,12.78,0.0,2.0,-3.2345999999999995,-0.0634,-1.0478,-0.10220000000000001,-12.3362,-29.9972,17.1804,0,1,0,100.0
3,7.0,2,20.0,0.6800000000000004,0,1,-7.529599999999999,-0.24972,0.29771999999999976,0.0,33.0,28.18,0,12.68,0.0,2.0,-3.9319999999999995,-0.0764,-1.0564,-0.09680000000000001,-11.190800000000001,-31.134400000000003,18.4208,0,1,0,100.0
3,8.0,2,20.0,1.0,0,1,-7.5708,-0.23571999999999999,0.6778,0.0,33.0,28.18,0,13.0,0.0,2.0,-5.3752,-0.1004,-1.08,-0.09,-7.8232,-32.8548,19.6968,0,1,0,100.0
3,9.0,2,20.0,1.0,0,1,-7.5784,-0.23306,0.5524000000000001,0.0,33.0,28.18,0,13.0,0.0,2.0,-5.5196000000000005,-0.1042,-1.08,-0.09,-7.1886,-32.7104,19.2864,0,1,0,100.0
3,10.0,2,20.0,1.0,0,1,-7.586,-0.2304,0.427,0.0,33.0,28.18,0,13.0,0.0,2.0,-5.664000000000001,-0.108,-1.08,-0.09,-6.554,-32.566,18.876,0,1,0,100.0
3,11.0,2,20.0,1.0,0,1,-7.6044,-0.22792,0.2965600000000001,0.0,33.0,28.18,0,13.0,0.0,2.0,-5.7976,-0.11,-1.0836000000000001,-0.09,-5.7232,-32.058,17.9796,0,1,0,100.0
3,12.0,2,20.0,1.0,0,1,-7.633,-0.22588,0.17240000000000008,0.0,33.0,28.18,0,13.0,0.0,2.0,-5.9024,-0.11,-1.09,-0.09,-4.7746,-31.1802,16.636200000000002,0,1,0,100.0
3,13.0,2,20.0,1.0,0,1,-7.652,-0.22512000000000001,0.11160000000000002,0.0,33.0,28.18,0,13.0,0.0,2.0,-5.9176,-0.11,-1.09,-0.09,-4.3604,-30.4848,15.7888,0,1,0,100.0
3,14.0,2,20.0,1.0,0,1,-7.670999999999999,-0.22436,0.05080000000000006,0.0,33.0,28.18,0,13.0,0.0,2.0,-5.9328,-0.11,-1.09,-0.09,-3.9462000000000006,-29.7894,14.9414,0,1,0,100.0
3,15.0,2,20.0,1.0,0,1,-7.776,-0.225,0.0196,0.0,33.0,28.18,0,13.0,0.0,2.0,-5.956,-0.11,-1.086,-0.094,-2.65,-26.178,11.56,0,1,0,100.0
3,16.0,2,20.0,1.0,0,1,-7.9395999999999995,-0.22592,-0.06108000000000003,0.0,33.0,28.18,0,13.0,0.0,2.0,-6.110799999999999,-0.1108,-1.0792000000000002,-0.1108,-1.7312,-21.7996,8.6572,0,1,0,100.0
3,17.0,2,20.0,1.0,0,1,-7.9852,-0.22554000000000002,-0.023460000000000057,0.0,33.0,28.18,0,13.0,0.0,2.0,-6.2096,-0.1146,-1.0754000000000001,-0.1146,-1.5944000000000003,-20.8002,8.121400000000001,0,1,0,100.0
3,18.0,2,20.0,1.0,0,1,-8.030800000000001,-0.22516,0.014159999999999917,0.0,33.0,28.18,0,13.0,0.0,2.0,-6.3084,-0.11839999999999999,-1.0716,-0.11839999999999999,-1.4576000000000002,-19.800800000000002,7.585600000000001,0,1,0,100.0
3,19.0,2,20.0,1.0,0,1,-8.1072,-0.22368,0.22316000000000022,0.0,33.0,28.18,0,13.0,0.0,2.0,-6.526,-0.12440000000000001,-1.0656,-0.12,-1.2899999999999998,-18.2624,6.787999999999999,0,1,0,100.0
3,20.0,2,20.0,1.0,0,1,-8.319333333333335,-0.20693333333333333,1.1752666666666667,0.0,33.0,28.18,0,13.0,0.0,2.0,-7.353999999999999,-0.13133333333333333,-1.0493333333333335,-0.13066666666666668,-1.0053333333333334,-14.350666666666667,4.488,0,1,0,100.0
3,21.0,2,20.0,1.0,0,1,-8.354800000000001,-0.20288,1.13448,0.0,33.0,28.18,0,13.0,0.0,2.0,-7.521199999999999,-0.1364,-1.0468,-0.1332,-0.9876,-13.821200000000001,4.024400000000001,0,1,0,100.0
3,22.0,2,20.0,1.0,0,1,-8.390266666666667,-0.19882666666666668,1.0936933333333334,0.0,33.0,28.18,0,13.0,0.0,2.0,-7.6884,-0.14146666666666666,-1.0442666666666667,-0.13573333333333334,-0.9698666666666667,-13.291733333333335,3.560800000000001,0,1,0,100.0
3,23.0,2,20.0,1.0,0,1,-8.425733333333334,-0.19477333333333335,1.0529066666666667,0.0,33.0,28.18,0,13.0,0.0,2.0,-7.855599999999999,-0.14653333333333332,-1.0417333333333334,-0.13826666666666668,-0.9521333333333334,-12.762266666666669,3.097200000000001,0,1,0,100.0
3,24.0,2,20.0,0.0,0,1,-8.7344,-0.16344000000000003,0.8047600000000003,0.0,33.0,28.18,0,12.0,0.0,2.0,-9.3672,-0.1712,-1.0188,-0.15119999999999997,-0.8244000000000001,-8.916400000000001,-2.7219999999999964,0,1,0,100.0
3,25.0,2,20.0,0.0,0,1,-8.780000000000001,-0.1585,0.7184999999999999,0.0,33.0,28.18,0,12.0,0.0,2.0,-9.58,-0.175,-1.0150000000000001,-0.155,-0.7749999999999999,-8.43,-3.9,0,1,0,100.0
3,26.0,2,20.0,0.0,0,1,-8.8256,-0.15356,0.63224,0.0,33.0,28.18,0,12.0,0.0,2.0,-9.7928,-0.1788,-1.0112,-0.1588,-0.7256,-7.9436,-5.077999999999999,0,1,0,100.0
3,27.0,2,20.0,0.0,0,1,-8.8972,-0.1468,0.7661999999999997,0.0,33.0,28.18,0,12.0,0.0,2.0,-10.083599999999999,-0.18,-1.0048,-0.16519999999999999,-0.5956000000000002,-7.223200000000001,-7.129599999999996,0,1,0,100.0
3,28.0,2,20.0,0.0,0,1,-8.978,-0.13836,0.8696400000000003,0.0,33.0,28.18,0,12.0,0.0,2.0,-10.373999999999999,-0.1828,-1.0,-0.17,-0.40040000000000053,-6.442400000000002,-9.584399999999995,0,1,0,100.0
3,29.0,2,20.0,0.0,0,1,-9.0532,-0.12856000000000004,0.7589599999999996,0.0,33.0,28.18,0,12.0,0.0,2.0,-10.5968,-0.19,-0.9996,-0.1704,-0.152800000000001,-5.748400000000002,-12.034399999999993,0,1,0,100.0
3,30.0,2,20.0,0.0,0,1,-9.114,-0.1202,0.8722,0.0,33.0,28.18,0,12.0,0.0,2.0,-10.725999999999999,-0.19,-0.992,-0.178,0.17400000000000002,-5.148000000000001,-14.398,0,1,0,100.0
3,31.0,2,20.0,0.0,0,1,-9.1636,-0.11016000000000001,0.8493600000000001,0.0,33.0,28.18,0,12.0,0.0,2.0,-10.7824,-0.19,-0.99,-0.18,0.5511999999999997,-4.6092,-16.655199999999997,0,1,0,100.0
3,32.0,2,20.0,0.0,0,1,-9.194799999999999,-0.10224,0.81136,0.0,33.0,28.18,0,12.0,0.0,2.0,-10.7888,-0.19,-0.99,-0.18159999999999998,0.8775999999999996,-4.2172,-18.3704,0,1,0,100.0
3,33.0,2,20.0,0.0,0,1,-9.2062,-0.09806000000000001,0.81934,0.0,33.0,28.18,0,12.0,0.0,2.0,-10.7622,-0.19,-0.99,-0.18539999999999998,1.1093999999999995,-3.9968000000000004,-19.392599999999998,0,1,0,100.0
3,34.0,2,20.0,0.0,0,1,-9.217600000000001,-0.09388,0.8273199999999999,0.0,33.0,28.18,0,12.0,0.0,2.0,-10.7356,-0.19,-0.99,-0.18919999999999998,1.3411999999999993,-3.7764000000000006,-20.414799999999996,0,1,0,100.0
3,35.0,2,20.0,0.0,0,1,-9.212,-0.0718,0.9244,0.0,33.0,28.18,0,12.0,0.0,2.0,-10.394,-0.18,-0.98,-0.19,2.52,-2.972,-24.450000000000003,0,1,0,100.0
3,36.0,2,20.0,0.0,0,1,-9.128,-0.05044000000000001,0.9744,0.0,33.0,28.18,0,12.0,0.0,2.0,-9.8908,-0.16880000000000003,-0.98,-0.19,3.707199999999999,-2.3940000000000006,-27.648,0,1,0,100.0
