cycle_index,start_row,end_row,start_ms,end_ms,state_path,segment_type,step_type,step_code,walk_out_values,walk_out_pattern,cycle_ms,stance_ms,swing_ms,swing_phase_ms,confirmation_wrap_ms,stance_percent,swing_percent,has_full_phase_timing,cluster_size,cluster_stance_median_ms,cluster_swing_median_ms,cluster_stance_percent_median,quality_status,accepted,user_decision,reason
20,2623,2711,160480.0,162260.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1780.0,1220.0,560.0,240.0,320.0,68.53932584269663,31.46067415730337,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
21,2712,2799,162260.0,164020.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1760.0,1180.0,580.0,260.0,320.0,67.04545454545455,32.95454545454545,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
22,2800,2899,164020.0,166040.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,2020.0,1220.0,800.0,220.0,580.0,60.396039603960396,39.603960396039604,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: log_swing_ms robust z=6.4; stance_percent robust z=-5.6
23,2900,3052,166040.0,169080.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3040.0,2460.0,580.0,280.0,300.0,80.92105263157895,19.07894736842105,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: log_stance_ms robust z=14.5; stance_percent robust z=10.0
24,3053,3145,169080.0,170940.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1860.0,1280.0,580.0,260.0,320.0,68.81720430107526,31.182795698924732,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
25,3146,3237,170940.0,172780.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1840.0,1240.0,600.0,280.0,320.0,67.3913043478261,32.608695652173914,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
26,3238,3331,172780.0,174680.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1900.0,1300.0,600.0,260.0,340.0,68.42105263157895,31.57894736842105,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
27,3332,3421,174680.0,176500.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1820.0,1140.0,680.0,280.0,400.0,62.637362637362635,37.362637362637365,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: stance_percent robust z=-3.9
28,3422,3600,176500.0,180040.0,1→2→5→6→7,full_cycle,walk_out_0_6_0,W060,"0,6",0→6→0,3540.0,3020.0,520.0,260.0,260.0,85.31073446327683,14.689265536723164,True,28,1229.9593489217443,580.0,67.7995391705069,review,False,auto,timing review required: log_stance_ms robust z=18.8; stance_percent robust z=13.3
29,3601,3691,180040.0,181860.0,1→2→5→6→7,full_cycle,standard,,"0,1,3,6",0→6→1→3,1820.0,1260.0,560.0,220.0,340.0,69.23076923076923,30.76923076923077,True,28,1229.9593489217443,580.0,67.7995391705069,accepted,True,auto,matches patient timing cluster (28 cycles)
