gait_percent,walk_dt_ms_mean,walk_dt_ms_sd,walk_exec_ms_mean,walk_exec_ms_sd,walk_tilt_forward_deg_mean,walk_tilt_forward_deg_sd,walk_pos_rad_mean,walk_pos_rad_sd,walk_vel_rad_s_mean,walk_vel_rad_s_sd,walk_tq_nm_mean,walk_tq_nm_sd,walk_temp_c_mean,walk_temp_c_sd,walk_vbus_v_mean,walk_vbus_v_sd,walk_fb_age_ms_mean,walk_fb_age_ms_sd,walk_typical_stride_ms_mean,walk_typical_stride_ms_sd,walk_effective_step_count_mean,walk_effective_step_count_sd,walk_tilt_accel_deg_mean,walk_tilt_accel_deg_sd,walk_acc_x_mean,walk_acc_x_sd,walk_acc_y_mean,walk_acc_y_sd,walk_acc_z_mean,walk_acc_z_sd,walk_gyr_x_mean,walk_gyr_x_sd,walk_gyr_y_mean,walk_gyr_y_sd,walk_gyr_z_mean,walk_gyr_z_sd,cfg_assist_pct_mean,cfg_assist_pct_sd,ankle_joint_angle_deg_mean,ankle_joint_angle_deg_sd,leg_tilt_angle_deg_mean,leg_tilt_angle_deg_sd,foot_tilt_angle_deg_mean,foot_tilt_angle_deg_sd
0.0,20.0,0.0,0.0,0.0,0.2876923076923077,2.900279031668929,-0.003846153846153846,0.053397896818277266,-0.4755769230769232,0.410133751166804,0.7782692307692307,0.5680246866249605,38.30769230769231,1.892495300268527,26.82884615384615,0.02581889588296518,17.23076923076923,6.179370144651911,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,8.946153846153846,4.137687351091745,-0.17115384615384613,0.07936381659557071,-1.0796153846153846,0.024245538844211195,-0.11423076923076922,0.02369355641064919,-7.505769230769231,1.7904416730559487,-0.593076923076923,6.714896734414175,-0.030769230769230736,2.390618201347799,100.0,0.0,0.22036838274262444,3.059474122562334,0.2876923076923077,2.900279031668929,-0.06732392494968337,2.1965011823970935
1.0,20.0,0.0,0.0,0.0,-0.5732871794871794,2.9881234194847948,-0.008090064102564104,0.049611037778302634,-0.40282153846153845,0.3360735168494216,0.5671388461538461,0.46376298531320426,38.30769230769231,1.892495300268527,26.82677692307692,0.022334069180376986,19.588461538461537,9.726184325749822,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,8.090702564102564,3.9909510608839764,-0.15288589743589742,0.07617808283406392,-1.0736557692307693,0.022336549988407246,-0.11641089743589744,0.02328798018163385,-7.245110897435898,1.7982198149339086,-1.6628916666666667,6.363425737829602,3.647400641025641,3.1326927406110787,100.0,0.0,0.46352652906721503,2.842503081960825,-0.5732871794871794,2.9881234194847948,1.0368137085543945,2.102639294923727
2.0,20.0,0.0,0.0,0.0,-1.3829666666666667,3.092928452727106,-0.011273974358974361,0.04571352745104116,-0.3717946153846154,0.30282234188686635,0.5167615384615384,0.450411558605614,38.30769230769231,1.892495300268527,26.825876923076923,0.020972750085619763,28.830769230769228,16.24351610288288,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,7.30059358974359,3.8355571287973764,-0.13773333333333332,0.07298942450032668,-1.0690807692307693,0.020507579461862796,-0.11844102564102564,0.023925769106769114,-7.042452564102563,1.7962324932956037,-2.563287179487179,6.078880771370678,6.93665512820513,4.247095803528621,100.0,0.0,0.6459511491079385,2.6191921896000907,-1.3829666666666667,3.092928452727106,2.0289178157746055,2.1400775059068824
3.0,20.0,0.0,0.0,0.0,-2.290148076923077,3.197386833102331,-0.015397307692307693,0.03980307471115188,-0.3823046153846154,0.32518691572977865,0.510636923076923,0.4516252785730155,38.30769230769231,1.892495300268527,26.828061538461533,0.023663695010257262,42.334615384615375,24.517845620000013,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,6.426930769230769,3.7344780697729885,-0.1191346153846154,0.07038321357998763,-1.0630384615384616,0.017340330491039155,-0.12135576923076924,0.022891283611554323,-6.887994230769231,1.781080573715121,-3.3158307692307694,5.569185967770819,10.598967307692307,5.127876732585181,100.0,0.0,0.8822007466335479,2.280548192592901,-2.290148076923077,3.197386833102331,3.1723488235566246,2.0428868775651354
4.0,20.0,0.0,0.0,0.0,-2.993007692307692,3.323987437993481,-0.01884461538461539,0.0359272016422954,-0.4382807692307692,0.3465891989768069,0.48944769230769225,0.43381837630333453,38.30769230769231,1.892495300268527,26.82681538461538,0.02097876435460792,54.22615384615385,29.02404617925255,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,5.805046153846154,3.6278292728551347,-0.10755384615384617,0.06815608692270547,-1.058446153846154,0.01517980845120863,-0.1239230769230769,0.022700278547935184,-6.73933076923077,1.6415279213633205,-3.748953846153846,5.325800775337416,13.366815384615384,5.641743928658394,100.0,0.0,1.079716928085762,2.058477023819007,-2.993007692307692,3.323987437993481,4.072724620393454,2.2472238477890243
5.0,20.0,0.0,0.0,0.0,-3.5733269230769236,3.3203319975337036,-0.02901153846153846,0.036000675153925396,-2.227271153846154,1.7564495530998365,0.2588471153846154,0.29307426877217685,38.30769230769231,1.892495300268527,26.836298076923075,0.02036369554265257,39.15,24.867042445775493,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,5.2162788461538465,3.430663043295657,-0.09593269230769232,0.06348435073670942,-1.0536153846153848,0.013903638151439145,-0.1268173076923077,0.02364694036152539,-6.655778846153846,1.5770396290628257,-4.102317307692308,5.138890975958574,15.580903846153843,5.914270632578849,100.0,0.0,1.662238711027615,2.0626867459414107,-3.5733269230769236,3.3203319975337036,5.235565634104538,2.3334441082304966
6.0,20.0,0.0,0.0,0.0,-4.050144871794871,3.360037424724675,-0.04419294871794872,0.038087252662822896,-3.697884487179487,3.402613497878481,0.017084999999999993,0.0871167483897327,38.33615384615385,1.8807659650750317,26.85269871794872,0.01648236358662477,13.213076923076924,7.333892701277142,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,4.750298717948718,3.3452588489048303,-0.08686025641025642,0.061737027261139936,-1.0477076923076925,0.012764667581317524,-0.12941538461538465,0.02340002892831874,-6.618023076923077,1.5697602110660576,-4.132211538461539,4.885195321812787,17.573228205128206,6.145273140803732,100.0,0.0,2.5320694457765436,2.182238830828158,-4.050144871794871,3.360037424724675,6.582214317571415,2.283050614420542
7.0,20.0,0.0,0.0,0.0,-4.465222435897436,3.5869345221634044,-0.05245955128205128,0.03423262000736105,-1.3475964743589743,1.7439391501406192,0.0031824999999999866,0.016227629602008967,38.38461538461539,1.8778055932800515,26.85388782051282,0.015560119649419933,12.041153846153843,2.9219723844322347,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,4.349945512820513,3.384740187989349,-0.07937628205128203,0.06308846085248111,-1.0421346153846154,0.009412669857492822,-0.13257884615384616,0.022899808615256693,-6.569309615384616,1.5228538609478737,-4.176969230769231,4.621901290250083,19.310448717948717,6.928041370106662,100.0,0.0,3.0057108836116457,1.9613846480968895,-4.465222435897436,3.5869345221634044,7.470933319509081,2.608065770981758
8.0,20.0,0.0,0.0,0.0,-4.783023076923078,3.6030504251045605,-0.05941230769230769,0.03294787159228253,-0.7036707692307692,0.8438285364452808,0.0,0.0,38.42307692307692,1.8148956316676046,26.84881538461539,0.014981366888443383,11.692307692307692,2.4782127555031392,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,4.001761538461539,3.2381427486850445,-0.07289999999999999,0.05916180524629045,-1.0379,0.00861798120211458,-0.1355230769230769,0.0232548370485335,-6.484876923076921,1.5312348074172537,-4.155676923076923,4.408330870005807,20.773630769230767,7.054415510006154,100.0,0.0,3.4040744819018673,1.8877739861767688,-4.783023076923078,3.6030504251045605,8.187097558824943,2.6041146074760855
9.0,20.0,0.0,0.0,0.0,-5.014666025641025,3.6366158428788364,-0.06602141025641027,0.031142745870845565,-0.514215064102564,0.3127102371719014,0.0,0.0,38.42307692307692,1.8148956316676046,26.84948717948718,0.016693096582248296,11.496153846153845,2.42589872323323,1634.5,483.9881196889031,14.346153846153847,8.480293899116033,3.746239102564103,3.142745903848142,-0.06732948717948718,0.05763252270640487,-1.0359384615384617,0.00806986130850224,-0.1390846153846154,0.022592825273660525,-6.378471153846153,1.620465712576053,-3.9503115384615386,4.163940749465767,22.082255128205126,7.137469581568603,100.0,0.0,3.7827481651940342,1.7843479008479228,-5.014666025641025,3.6366158428788364,8.79741419083506,2.631140650690119
